trial,raw_file,detected,detected_note,actual_note,matches_actual_note,is_false_positive,detection_audio_time_s,samples_to_detection,progressive_fft_checks,analysis_wall_time_s,sample_rate_hz,recording_wall_time_s,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,median_spectral_magnitude
1,trial_001_raw.npy,True,C4,C4,True,False,0.19859099901632482,1588,1074,0.6690102000138722,7996.334213865661,3.0013752999948338,7996.334213865661,195,2679,1422.824125,466.0130366015306,261.3441012603088,147.4420593569916,30.323688994254343,522.9991763310945,399.62180852822485,82.18826764885878,784.529575775465,320.74499585987843,65.96605841871092,4.862273168179787
2,trial_002_raw.npy,True,C4,C4,True,False,0.12614692472970637,1009,495,0.3386973000015132,7998.609575001318,3.0005215000128374,7998.609575001318,106,2367,1424.8615833333333,455.55821652618664,261.68434906493655,151.53290829361552,30.41237936192654,522.9661745853639,378.75787779467305,76.0160178770563,784.4862355084008,341.6727032628131,68.57309073161524,4.982606145026606
3,trial_003_raw.npy,True,C4,C4,True,False,0.11851907454809407,948,434,0.35221670000464655,7998.712474044078,3.0004828999517485,7998.712474044078,238,2635,1424.4470833333332,469.1576486860588,261.5120707662877,147.76302232023636,30.36921392521257,522.7509039872524,395.92082031723186,81.37221275564681,784.6636300668515,331.8006562588306,68.1938211077749,4.865553078987114
4,trial_004_raw.npy,True,C4,C4,True,False,0.06448544235053123,516,2,0.001997899991692975,8001.80600755,2.9993229000247084,8001.80600755,199,2377,1424.4185833333333,466.05748887587043,261.89026359944745,143.85294559134593,76.49099580591665,524.025344677395,375.38829514048666,199.60539835416873,,0.0,0.0,1.880652017609356
5,trial_005_raw.npy,True,C4,C4,True,False,0.1109061706590437,887,373,0.25137489999178797,7997.751565392008,3.000843400019221,7997.751565392008,159,2544,1424.80875,454.7575189301219,261.31651268920456,140.88056533930603,30.02387449978487,522.882941985922,406.4311395586143,86.61689777807713,784.4188739933813,350.8627045622202,74.77438625448298,4.692284646350872
6,trial_006_raw.npy,True,C4,C4,True,False,0.06502133300101075,520,6,0.004963600018527359,7997.375261314878,3.0009846000466496,7997.375261314878,6,2611,1425.2011666666667,507.7380511763237,260.85205850678057,142.93650847922203,37.73079100765657,523.0468748284395,410.57914014024743,108.38011851245781,784.5534003163876,354.5847718479053,93.59934745457775,3.788325255365477
7,trial_007_raw.npy,True,C4,C4,True,False,0.0763825738540448,611,97,0.0602567000023555,7999.20674534385,3.000297499995213,7999.20674534385,407,2445,1425.0043333333333,516.3456619355525,262.0118012717743,158.41810896818143,30.246548432008325,522.9742877031525,454.93350760082706,86.85981962930512,784.8237266203821,364.83725990358977,69.65786880899803,5.237559892967354
8,trial_008_raw.npy,True,C4,C4,True,False,0.06438273572936547,515,1,0.001064199983375147,7999.038782148309,3.000360500009265,7999.038782148309,309,2451,1425.7514166666667,492.93314726067325,262.1865328380178,167.35097130275423,36.896829963883995,523.9152832400088,434.5671475311354,95.81151531734496,,0.0,0.0,4.535646326976156
9,trial_009_raw.npy,True,C4,C4,True,False,0.06439349708303779,515,1,0.0007858999888412654,7997.70199366387,3.0008619999862276,7997.70199366387,257,2672,1424.8308333333334,479.7937918725281,262.09624969798426,171.1420522083228,36.115512288613495,523.7872533489976,457.7313996287545,96.5934659241664,,0.0,0.0,4.738740816983524
10,trial_010_raw.npy,True,C4,C4,True,False,0.06488502318703832,519,5,0.0034955000155605376,7998.7641909894155,3.0004634999786504,7998.7641909894155,388,2539,1425.2901666666667,494.91481312240245,261.3565558034857,145.51618385719914,35.535483194099655,523.3156104267555,407.08121057013733,99.41043761183809,784.7685758346912,312.0791324943277,76.21064869914626,4.094954416754935
