note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,261.472745372816,144.4100031815694,238.19006205496171,True,522.886175944305,437.12216799077936,720.9899177719249,784.3718544830004,376.5021030795294,621.003097573383,True
C#4 / Db4,277.18,275.24352396081696,2.9846620756481386,4.922905819189491,False,552.4748783618145,2.7035917368685127,4.459308007675333,831.3910661495313,0.9024468570582173,1.4884971134148954,False
D4,293.66,290.3378408873243,2.7185466867707686,4.483974723046625,False,590.404360007439,1.603601353062166,2.6449823238148538,879.3073326810025,0.7107547113969432,1.1723198191515645,False
D#4 / Eb4,311.13,307.1709563490847,3.5371277686950737,5.834143509175787,False,620.5366505985608,1.7873618389228443,2.948077127263976,930.0533211927864,0.6775039714492345,1.1174760019849643,False
E4,329.63,329.5083891201135,5.283041555359598,8.713856160835856,False,663.5304058422369,3.1574146495413773,5.207844157180169,991.4289221342334,2.579508640041772,4.254645173508834,False
F4,349.23,351.661938216793,3.5707533119943236,5.889605527516787,False,698.0391455770734,1.419444383194074,2.341233559087087,1045.809580690101,330.93584984317715,545.8460554927689,False
F#4 / Gb4,369.99,371.4371167867943,5.607943922959479,9.249750582243198,False,739.1105055841056,0.9441107925365606,1.5572176671050921,1114.3558105045624,0.7766503346820276,1.2810081527408252,False
G4,392.0,388.522343746367,4.501037721387773,7.4240179388480625,False,784.3718544830004,376.5021030795294,621.003097573383,1174.1761325025898,0.7867199898590705,1.2976170561315155,False
G#4 / Ab4,415.3,415.9359435818588,4.741060841265298,7.819912409858987,False,831.3910661495313,0.9024468570582173,1.4884971134148954,1245.638567679194,1.094120147344057,1.8046433075955046,False
A4 (Concert Pitch),440.0,435.00125646459645,4.549415580286256,7.503812447256373,False,879.3073326810025,0.7107547113969432,1.1723198191515645,1315.160496544977,1.2163828993484331,2.006303662455531,False
A#4 / Bb4,466.16,470.4677731614136,3.2372262951483024,5.339485597530531,False,927.9964033281017,0.9540453132890446,1.573603679586134,1402.5268127324334,0.7374217898713945,1.2163045358381768,False
B4,493.88,494.86987794771363,2.536361571512587,4.183478338081688,False,991.4289221342334,2.579508640041772,4.254645173508834,1479.471852353074,1.3361873083125584,2.203909222852506,False
