note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,261.87585687298787,161.1313914798144,39.90472585450189,True,523.7763488139857,423.66383175344873,104.92175922596121,,0.0,0.0,True
C#4 / Db4,277.18,295.09085237025016,63.411775231058286,15.704137370772171,False,567.505479039031,12.398383784317845,3.0705010451925827,,0.0,0.0,False
D4,293.66,301.88931617280224,3.6642773511281486,0.9074704923028419,False,595.32713148636,4.280601240316147,1.0601051565340418,888.2059094599493,2.464122942598832,0.6102482551236027,False
D#4 / Eb4,311.13,295.90328907783396,7.631652787561289,1.8900042350998332,False,631.401495172477,1.9758464238051443,0.4893249487168958,947.3969470834347,4.675636107145069,1.157936857228767,False
E4,329.63,336.8411677633807,20.460915440772446,5.06721386750051,False,,0.0,0.0,,0.0,0.0,False
F4,349.23,,0.0,0.0,False,714.4304846858688,0.7115963625499558,0.1762292096271881,,0.0,0.0,False
F#4 / Gb4,369.99,380.7114401498437,1.4807442297744002,0.3667112411003121,False,,0.0,0.0,,0.0,0.0,False
G4,392.0,381.08973049822293,1.3555110778441444,0.3356968338530558,False,,0.0,0.0,1179.2186563535063,0.3858026370826692,0.09554530824402667,False
G#4 / Ab4,415.3,419.50471320661677,6.143829661776303,1.5215398818215609,False,,0.0,0.0,1248.024702012191,3.8257489663853277,0.9474594757091482,False
A4 (Concert Pitch),440.0,,0.0,0.0,False,,0.0,0.0,1304.6121894263692,5.484468646630423,1.3582469299833178,False
A#4 / Bb4,466.16,466.68138602005564,6.881366930062199,1.7041934431675747,False,947.3969470834347,4.675636107145069,1.157936857228767,1382.2676768922245,0.8987244226284447,0.22257209705922715,False
B4,493.88,486.1469506454178,50.62753382439914,12.538077400053098,False,,0.0,0.0,,0.0,0.0,False
