trial,raw_file,detected,detected_note,actual_note,matches_actual_note,is_false_positive,detection_audio_time_s,samples_to_detection,progressive_fft_checks,analysis_wall_time_s,sample_rate_hz,recording_wall_time_s,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,median_spectral_magnitude
1,trial_001_raw.npy,True,C#4 / Db4,C#4 / Db4,True,False,0.0643978445419998,515,1,0.0010310999932698905,7997.162073710724,3.0010646000155248,7997.162073710724,183,3021,1439.153,588.6113300062633,279.3983653608186,420.4863407075998,46.28800017162333,554.9090937612,544.1929845000194,59.90588164539119,,0.0,0.0,9.08413280220685
2,trial_002_raw.npy,True,C#4 / Db4,C#4 / Db4,True,False,0.06440403741669191,515,1,0.0010500999924261123,7996.393093618769,3.0013532000011764,7996.393093618769,146,2976,1439.1474583333334,597.5446203952165,277.75401789225714,356.99964040918405,49.866349475191996,554.538196456831,538.3729899891449,75.20090394497801,,0.0,0.0,7.159129235774272
3,trial_003_raw.npy,True,C#4 / Db4,C#4 / Db4,True,False,0.06439748404175286,515,1,0.0010652000200934708,7997.20684221287,3.0010478000040166,7997.20684221287,292,2861,1438.5194583333334,595.0959513005799,277.5430911456053,349.79366235041505,36.766292684196365,554.7183416199605,530.3545322579212,55.744777730852604,,0.0,0.0,9.51397698307424
4,trial_004_raw.npy,True,C#4 / Db4,C#4 / Db4,True,False,0.06438289022804383,515,1,0.0014604000025428832,7999.019586972143,3.000367699947674,7999.019586972143,203,2960,1438.5069583333334,595.870399582656,277.7180438255251,357.24923934048223,54.26097431814967,555.0311042757594,533.5458561321561,81.03787162874865,,0.0,0.0,6.58390756579147
5,trial_005_raw.npy,True,C#4 / Db4,C#4 / Db4,True,False,0.06440419620831866,515,1,0.001022500015096739,7996.373378129062,3.001360599999316,7996.373378129062,272,2909,1438.857875,597.7354165180369,277.5752126018845,358.8488544033659,153.5995268368486,554.8217321719575,560.096714898354,239.74046269228808,,0.0,0.0,2.3362627593542684
6,trial_006_raw.npy,True,C#4 / Db4,C#4 / Db4,True,False,0.0643934026656522,515,1,0.0009888000204227865,7997.7137203638395,3.000857599952724,7997.7137203638395,150,2960,1439.5176666666666,595.8745848551176,277.68977047997294,349.74433061943876,54.94762446295322,554.7436169922031,540.3267517435875,84.88964321311532,,0.0,0.0,6.365049154313183
7,trial_007_raw.npy,True,C#4 / Db4,C#4 / Db4,True,False,0.06440467043734922,515,1,0.0008617999847047031,7996.314498666294,3.0013826999929734,7996.314498666294,208,2928,1438.2584166666666,592.0589898519156,278.33773869346743,386.06957216488826,36.611047528987584,554.7365875763654,537.0847182426407,50.931841213003345,,0.0,0.0,10.545165960061901
8,trial_008_raw.npy,True,C#4 / Db4,C#4 / Db4,True,False,0.06438807885508141,515,1,0.000735200010240078,7998.374996699517,3.0006095000426285,7998.374996699517,0,3024,1438.3874166666667,601.8483563588327,277.71005138093005,367.44180049607746,131.08841354211697,555.0010097755375,571.4565208452212,203.87263676794834,,0.0,0.0,2.8030074555599325
9,trial_009_raw.npy,True,C#4 / Db4,C#4 / Db4,True,False,0.06440055473015187,515,1,0.0009845999884419143,7996.825526704364,3.0011909000459127,7996.825526704364,0,3025,1438.24075,605.8758949015646,277.2502035519861,363.8221122254434,41.84034014559569,554.802187499363,565.5430516569975,65.03869020925376,,0.0,0.0,8.69548648408254
10,trial_010_raw.npy,True,C#4 / Db4,C#4 / Db4,True,False,0.06439659137578321,515,1,0.0012672000157181174,7997.317699546273,3.0010062000364996,7997.317699546273,69,3014,1438.260125,593.0639755371642,279.568048929206,435.36183953953616,112.91377905147499,555.4670807127101,561.1765583136471,145.54460258003397,,0.0,0.0,3.8557016087563944
