note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,257.2810623938345,4.38537982281491,5.074711052824269,False,525.4862555968396,6.017575761773791,6.963469405913246,789.8002701853853,2.530973243064717,2.928813103978451,False
C#4 / Db4,277.18,277.050653540038,338.0031726812364,391.13338082404346,True,554.1568714640017,587.3746571812816,679.7031922843602,831.2001335675678,398.5093728217208,461.15045916692276,True
D4,293.66,290.92387305069894,4.182879070426891,4.840379513056047,False,585.1769932531905,3.5692295366155036,4.130271335973631,881.4913224307003,1.781169035326043,2.0611483054426665,False
D#4 / Eb4,311.13,313.95446873898015,3.186251105834983,3.687093104167088,False,621.3583600330676,6.261029755133138,7.245191564739129,931.1567144840884,0.8330603160379808,0.96400780873608,False
E4,329.63,329.08145481848817,4.106033973288468,4.751455251176857,False,656.2457742583531,2.528637198845809,2.926109860497486,991.8493440107128,0.9164328742136848,1.0604855733929401,False
F4,349.23,350.3161563949916,5.383329700526503,6.229527164359381,False,698.5629926293537,3.0387303834006834,3.516383822210883,1044.1527665329177,1.0490453740537142,1.2139432317649086,False
F#4 / Gb4,369.99,373.6128925843313,6.557954290471616,7.588789219267874,False,738.5104306390969,3.135540009425981,3.628410807115241,1108.2914213636968,135.24850614938399,156.50801453126905,False
G4,392.0,394.29972931682283,5.760808058132417,6.66634077479714,False,788.5692002763477,2.0507313751651775,2.3730827422935112,1173.5013988866317,1.3006203575394994,1.5050629068880366,False
G#4 / Ab4,415.3,417.39215627499533,10.778100625390058,12.472293981826805,False,831.2001335675678,398.5093728217208,461.15045916692276,1248.0238289277395,1.3986515102099493,1.6185034283657203,False
A4 (Concert Pitch),440.0,444.5818839241005,4.5030576196748076,5.210886444814286,False,881.4913224307003,1.781169035326043,2.0611483054426665,1316.4237404952762,0.7832365500477754,0.9063523202312028,False
A#4 / Bb4,466.16,467.95758981106906,5.480857154774481,6.342384811820426,False,931.1567144840884,0.8330603160379808,0.96400780873608,1403.0534957652073,1.3515147700346322,1.5639573352046847,False
B4,493.88,490.5903363314616,9.329801069562464,10.796338406548696,False,983.1781194628594,0.9607927162774849,1.1118182720229548,1479.3475749991007,1.2050025078327151,1.3944150318214603,False
