note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,279.48118866551187,232.59971150443195,85.75717048250883,False,518.0653040386751,53.87511617879687,19.86321261117308,,0.0,0.0,False
C#4 / Db4,277.18,277.527289119733,368.66737168967006,135.9239460824829,True,554.8575815627797,556.9717591440073,205.34987680732945,,0.0,0.0,True
D4,293.66,310.534654072791,141.07236543037263,52.01196000775236,False,597.719119819133,6.6022304334158015,2.43417585164313,893.6173997486358,3.059275707094276,1.127924134855527,False
D#4 / Eb4,311.13,319.65571179548135,11.83931642624264,4.36503670015219,False,634.995827203053,3.5377818054199706,1.3043445129618636,916.0772295147334,1.6220263885576942,0.5980247895880123,False
E4,329.63,330.35904059741887,1.4475734393388626,0.5337057446047999,False,,0.0,0.0,1001.9500463077651,1.9122003828976455,0.7050090181635822,False
F4,349.23,,0.0,0.0,False,683.1762389601402,1.3340281650024308,0.4918427457826062,,0.0,0.0,False
F#4 / Gb4,369.99,362.1166107009211,3.1956954925095027,1.1782207354805796,False,,0.0,0.0,,0.0,0.0,False
G4,392.0,394.84697569737364,15.866016927639086,5.849640611080425,False,,0.0,0.0,1177.4092275773548,5.18631732687693,1.9121429528037046,False
G#4 / Ab4,415.3,423.8482148595307,0.40873343723522454,0.15069590083397458,False,,0.0,0.0,1257.6653489948035,0.4949211345138835,0.1824724365881042,False
A4 (Concert Pitch),440.0,,0.0,0.0,False,,0.0,0.0,1330.6695176775247,0.9884197408655692,0.36442040137298587,False
A#4 / Bb4,466.16,465.90450081855545,5.964882660817631,2.199192148362367,False,916.0772295147334,1.6220263885576942,0.5980247895880123,1394.5383364405154,2.178772942614933,0.8032916355485079,False
B4,493.88,504.47898170548615,8.521904870544954,3.141940478310185,False,,0.0,0.0,,0.0,0.0,False
