trial,raw_file,detected,detected_note,actual_note,matches_actual_note,is_false_positive,detection_audio_time_s,samples_to_detection,progressive_fft_checks,analysis_wall_time_s,sample_rate_hz,recording_wall_time_s,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,median_spectral_magnitude
1,trial_001_raw.npy,True,D4,D4,True,False,0.06438605533382846,515,1,0.0010685000161174685,7998.626369170015,3.0005152000230737,7998.626369170015,0,2907,1438.9753333333333,782.5941706655632,293.88030654051187,351.62853994498664,30.34383216676342,587.8168243209947,581.2881546379203,50.16233951777713,881.6367164021651,425.93500385404985,36.756118467855586,11.588138835349108
2,trial_002_raw.npy,True,D4,D4,True,False,0.0643800577289585,515,1,0.0006992999988142401,7999.371516070422,3.0002356999902986,7999.371516070422,0,3024,1440.7430833333333,812.395887763736,294.0686586944606,353.5152850833765,67.95468903007894,587.9601075934021,564.4289089267259,108.49768766478158,881.5281019270615,407.2890211885584,78.29137790663297,5.202220628614741
3,trial_003_raw.npy,True,D4,D4,True,False,0.06437975516665272,515,1,0.0009862000006251037,7999.409110315452,3.0002215999993496,7999.409110315452,0,2969,1439.6690416666668,810.343442845206,294.1450153641325,366.6696118811429,47.05819730547283,587.7296978300842,576.7925895097355,74.02527671227406,881.610002692852,417.0322488698607,53.52171331946753,7.791832940410989
4,trial_004_raw.npy,True,D4,D4,True,False,0.06442753429074705,515,1,0.0010383000189904124,7993.476790154971,3.0024481999571435,7993.476790154971,0,3018,1439.2505,798.7866361990377,293.6781310983117,373.51040796348866,45.611488360912304,586.6705655147454,569.4604073233676,69.54006149989041,881.1205288061946,401.07644286343566,48.977734262467855,8.188954611785395
5,trial_005_raw.npy,True,D4,D4,True,False,0.06439507641590655,515,1,0.0010295000101905316,7997.505844605026,3.0009355999645777,7997.505844605026,0,2891,1439.623375,792.3527510829371,293.7497190236564,358.34107818223487,57.75907901613808,587.5722974819515,607.2287255093389,97.87594577623702,881.3885403583695,413.6536699068357,66.67461940635782,6.204064958897859
6,trial_006_raw.npy,True,D4,D4,True,False,0.06438924833316075,515,1,0.0010134000040125102,7998.2297251756045,3.000663999991957,7998.2297251756045,0,3024,1442.2245833333334,802.6539072765291,294.42283149491584,367.24694325347764,31.79229587100992,588.0602106226282,609.7771088454724,52.78795267304298,881.4892904763298,402.951857186774,34.88324382488524,11.551444562025322
7,trial_007_raw.npy,True,D4,D4,True,False,0.06439695831233014,515,1,0.0007256999961100519,7997.272130497388,3.0010232999920845,7997.272130497388,0,3024,1440.256875,794.3896082898959,293.72319856677416,362.1477477889129,33.55924517151125,587.3657009953497,563.2994950341068,52.19942958158807,881.2597175197136,432.9876884903079,40.123789483737994,10.791295988276381
8,trial_008_raw.npy,True,D4,D4,True,False,0.3852146956154975,3081,2567,2.2769370000169147,7998.137233776003,3.0006987000233494,7998.137233776003,0,3024,1443.311625,810.3080343164543,293.414668912954,374.32137643023367,30.36132653141243,587.0310267853316,587.7415047119472,47.671901377368975,880.5811372452,402.2155658211336,32.62383315206764,12.328887410204338
9,trial_009_raw.npy,True,D4,D4,True,False,0.0644132730837373,515,1,0.0010167000000365078,7995.246559362069,3.0017836000188254,7995.246559362069,0,3030,1440.0063333333333,796.2610575032597,293.59257543736766,382.844698378599,39.871484592062046,587.7982349509447,590.2778749518553,61.47467966998926,881.1937809212461,431.51463148742124,44.940230473260264,9.601967478653126
10,trial_010_raw.npy,True,D4,D4,True,False,0.06440034872858329,515,1,0.0010096000041812658,7996.851106668366,3.0011812999728136,7996.851106668366,0,3024,1440.2491666666667,793.4665087734716,293.9496906959314,369.00080984799047,60.785495548879965,587.8381241719434,602.2201149930402,99.20370671933033,881.2169982436201,456.8874684155477,75.26306294328462,6.0705404556793106
11,trial_011_raw.npy,True,D4,D4,True,False,0.07841042811310762,627,113,0.0798132999916561,7996.385367205849,3.0013561000232585,7996.385367205849,0,3023,1440.0478333333333,790.4187937668675,293.7442819161174,390.54145940523983,30.230991355583896,586.8513953125196,636.5904283452383,49.27712352399261,880.4736480908007,451.4108657055095,34.94276382267446,12.918579308617474
12,trial_012_raw.npy,True,D4,D4,True,False,0.06440548799982934,515,1,0.000999599986243993,7996.212993547453,3.0014207999920473,7996.212993547453,0,3024,1439.15525,778.1615118576241,293.83265909456316,362.039692486532,54.9147169335236,587.6289189909883,593.8345179459437,90.07369947307657,881.3684640887287,420.9280846870462,63.846995508149384,6.592762609061522
13,trial_013_raw.npy,True,D4,D4,True,False,0.06437615445838067,515,1,0.0011369000130798668,7999.85653590024,3.000053800002206,7999.85653590024,0,3027,1439.2705,782.7333303180909,294.2855826448164,368.3345794948873,52.856879420602375,587.3065913465911,545.2668979091911,78.24708370947853,881.5574548071465,417.910155253352,59.971091270235355,6.968526775179223
14,trial_014_raw.npy,True,D4,D4,True,False,0.06439344343804503,515,1,0.0007294999959412962,7997.708656402229,3.000859500025399,7997.708656402229,0,3019,1438.710375,774.339005504912,293.9523292504042,359.1402237207013,61.328961263845514,587.763010574191,585.2568977113073,99.94201495249064,881.4408491824292,426.23617409899634,72.78667240263314,5.855964560945869
15,trial_015_raw.npy,True,D4,D4,True,False,0.12906365289911628,1032,518,0.40559390000998974,7996.054480239078,3.0014802999794483,7996.054480239078,0,3027,1439.6859166666666,780.2780637454562,293.7440969886968,351.32272062722217,30.34842265807961,587.4770435693292,588.6422845826783,50.84887426306832,880.6527373270579,433.41715487861643,37.44001236252354,11.576309074952537
16,trial_016_raw.npy,True,D4,D4,True,False,0.06440451379157214,515,1,0.0008628999930806458,7996.333947441304,3.001375399995595,7996.333947441304,0,3022,1439.490625,778.8074909489984,293.9744566285225,359.9529129348377,39.570070506762654,587.6967024078292,623.2325701632718,68.51273001904006,881.1777916752683,423.8625423153141,46.5957353917259,9.096595187347987
17,trial_017_raw.npy,True,D4,D4,True,False,0.06440711239554124,515,1,0.0013214000209700316,7996.01132305463,3.001496499986388,7996.01132305463,0,3021,1438.1753333333334,790.7070860916547,293.6802306042696,365.2413007208222,71.21834880682582,587.696684748892,611.7258596695748,119.2803375799047,881.2271795935194,419.4180394070192,81.78226330760963,5.128471901412802
18,trial_018_raw.npy,True,D4,D4,True,False,0.06452112159939134,516,2,0.0013668000174220651,7997.381124336619,3.00098239997169,7997.381124336619,0,3026,1438.7734166666667,790.2820760019669,293.0480343809768,378.3967517758793,30.778724532912918,587.4675218798608,616.307589519305,50.130349788503224,881.1130307191277,436.9223421739961,35.53918565351115,12.294101120767515
19,trial_019_raw.npy,True,D4,D4,True,False,0.08841383786746883,707,193,0.11403630001586862,7996.485810963027,3.0013184000272304,7996.485810963027,0,3024,1439.39975,785.149435044954,293.80554884707857,367.53217640540663,32.09703115773236,588.124126453776,585.4235559445784,51.12574985787609,880.8443782924461,468.16501206231925,40.885418866154424,11.450659551634763
20,trial_020_raw.npy,True,D4,D4,True,False,0.06434242148273915,514,1,0.000985099992249161,7988.508796453805,3.0043153999722563,7988.508796453805,0,3023,1438.523875,775.123887876458,293.57127978793073,379.82171508370027,41.825999580171406,587.3592672386461,573.1937371766649,63.12014310510101,880.2535136884827,404.67932303603595,44.563321482762845,9.080995526614112
21,trial_021_raw.npy,True,D4,D4,True,False,0.07840573606235557,627,113,0.08692359999986365,7996.863896556637,3.0011764999944717,7996.863896556637,0,3021,1438.8219583333334,766.7229227440483,293.65760254760664,354.18040912964443,30.203929502501165,586.6854024092326,623.4139961659242,53.16373211420546,880.5497483633307,439.9762654141163,37.52046064884801,11.726302337592035
22,trial_022_raw.npy,True,D4,D4,True,False,0.06439124610421762,515,1,0.0010100000072270632,7997.981576043262,3.0007571000023745,7997.981576043262,0,2974,1438.1209166666667,754.6458170727361,294.12901055985344,349.99202970955037,41.20935598030419,587.9025636759867,604.630073458243,71.19138099863507,881.390700434276,417.5213063765328,49.16050276376533,8.493023523027814
23,trial_023_raw.npy,True,D4,D4,True,False,0.06440405458348929,515,1,0.0010323999740649015,7996.390962193024,3.001354000007268,7996.390962193024,0,2915,1437.8014583333334,757.1196885557945,293.9257891932131,349.9111463625483,63.18317461510161,587.8018670840636,609.8842142991908,110.1263026560855,881.396160593145,417.18612993619183,75.33096435700784,5.538043134016804
24,trial_024_raw.npy,True,D4,D4,True,False,0.06441110150010597,515,1,0.0010213000059593469,7995.5161145498,3.0016824000049382,7995.5161145498,0,2896,1437.9824166666667,756.7089935228489,293.9214855050314,366.10108492018105,82.41514143863569,587.4957064615691,581.7406465621118,130.95901553384587,881.1590301512385,424.6634683880974,95.59845969496979,4.442158061365108
25,trial_025_raw.npy,True,D4,D4,True,False,0.06440510174938632,515,1,0.0009715999767649919,7996.260948456728,3.0014027999714017,7996.260948456728,0,3023,1439.3184583333334,754.3049787448906,293.8740610460088,356.27879047068353,59.966801437260926,587.7571844680363,614.487523973244,103.42701367964185,881.2680938350913,420.1353196272166,70.71476597184237,5.941267200042896
26,trial_026_raw.npy,True,D4,D4,True,False,0.06440168343708744,515,1,0.0007236999808810651,7996.685373963741,3.0012434999807738,7996.685373963741,0,3035,1465.0419166666666,877.1334738074053,293.6196607544873,347.7852615480631,37.72483830333163,587.7834841050175,648.1523858627182,70.30615341130701,881.2320521570947,434.0147997448655,47.07829788055921,9.218999396409574
27,trial_027_raw.npy,True,D4,D4,True,False,0.06439036202164668,515,1,0.0010902000067289919,7998.091388690561,3.0007159000379033,7998.091388690561,0,3021,1438.815125,743.0057190282402,294.2365685545723,339.0855744815129,53.7527576034095,587.6371390072457,610.9881500902409,96.85548546432452,881.3950171371491,383.9076856425585,60.858079262099274,6.308245187778142
28,trial_028_raw.npy,True,D4,D4,True,False,0.06440487000011975,515,1,0.0009649999847169966,7996.289721554324,3.0013920000055805,7996.289721554324,0,2919,1438.414875,714.5662052063257,294.32846940576127,358.54156269603726,39.91153889835892,587.2955843623685,551.6999166795215,61.41322227527476,881.0564867905127,393.19103391529853,43.76859164275027,8.983406117441884
29,trial_029_raw.npy,True,D4,D4,True,False,0.06441180747965215,515,1,0.0008321000204887241,7995.428480448864,3.0017153000226244,7995.428480448864,0,3007,1437.3689166666666,718.1158342021142,293.5217918511855,376.80126321867976,48.491215004041194,587.4747997803486,604.7013529494309,77.82007700459268,881.2182154442661,396.19048053103944,50.9864473645231,7.770505712988995
30,trial_030_raw.npy,True,D4,D4,True,False,0.06439704200046738,515,1,0.0009763000125531107,7997.261737523009,3.001027200021781,7997.261737523009,0,2986,1437.7205416666666,705.5081359796312,293.88925890507716,346.2971549166343,149.9567594876613,587.7031874988677,603.9102816851077,261.51075045528603,881.3258252887076,390.5660389568945,169.1264763119608,2.309313405409566
