note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,257.77102244238654,2.99733682800773,2.9439754781803384,False,524.3227102056935,3.092283847111161,3.0372321630330092,787.0712864266968,2.472937558988228,2.4289120477565866,False
C#4 / Db4,277.18,273.16605264323215,2.586626330795521,2.540576827376159,False,555.073119091288,4.620063934226802,4.53781330242742,835.4475310194795,2.710088644125122,2.661841150933466,False
D4,293.66,293.3950425626031,367.73104629384005,361.1843596417693,True,586.7836361008939,579.7471173899705,569.4259254393712,880.1646141852887,392.72991986289645,385.73818024736016,True
D#4 / Eb4,311.13,310.0318640369095,5.764091766524415,5.661474097960572,False,622.2597330382191,3.3164572027213644,3.257414578172686,935.4490640324419,1.9766145386773288,1.9414250268124322,False
E4,329.63,331.2770703973253,2.355583932794333,2.313647658862394,False,655.3719965916061,4.363438706519544,4.285756753295844,984.4877157018516,2.0662739563537045,2.029488244986889,False
F4,349.23,348.06547545880363,4.113952589833921,4.0407122181585935,False,696.3215509119285,2.392731896435073,2.350134280252678,1046.806109625358,2.5649699449666863,2.5193059884666464,False
F#4 / Gb4,369.99,371.00697496927455,3.1931298957359626,3.1362828574523394,False,743.978553759427,3.463600275302066,3.40193807430229,1108.6133396356786,3.7477875673601853,3.6810660025390627,False
G4,392.0,392.5844727492321,3.150570306592269,3.0944809532987296,False,787.0712864266968,2.472937558988228,2.4289120477565866,1173.527199412985,650.4674523351252,638.8872318703943,False
G#4 / Ab4,415.3,418.8451351077746,2.1935623313937977,2.154510515181505,False,835.4475310194795,2.710088644125122,2.661841150933466,1250.511437631582,1.5971061851854313,1.5686730304385832,False
A4 (Concert Pitch),440.0,443.3017295232868,5.091454244145036,5.000811488044593,False,880.1646141852887,392.72991986289645,385.73818024736016,1315.219688995836,1.0835656611842635,1.0642750276568216,False
A#4 / Bb4,466.16,469.7161384115143,5.050800985001527,4.960881975649367,False,935.4490640324419,1.9766145386773288,1.9414250268124322,1397.919356147536,1.0495276022976356,1.0308429456329615,False
B4,493.88,496.89740790174835,4.615991159623806,4.5338130351076655,False,984.4877157018516,2.0662739563537045,2.029488244986889,1483.4620685991558,1.9194150860857633,1.8852438915388114,False
