trial,raw_file,detected,detected_note,actual_note,matches_actual_note,is_false_positive,detection_audio_time_s,samples_to_detection,progressive_fft_checks,analysis_wall_time_s,sample_rate_hz,recording_wall_time_s,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,median_spectral_magnitude
1,trial_001_raw.npy,True,D#4 / Eb4,D#4 / Eb4,True,False,0.0643980204991749,515,1,0.0007625999860465527,7997.140222758842,3.0010727999615483,7997.140222758842,0,2967,1444.6192083333333,770.4921085750526,310.9210409434426,424.6142730999048,64.46594981784968,621.6820224500525,602.1034278207089,91.41277583458087,932.4814836783056,475.82709726725534,72.24120270489993,6.586644178820976
2,trial_002_raw.npy,True,D#4 / Eb4,D#4 / Eb4,True,False,0.06438028733362444,515,1,0.001046899997163564,7999.342987259806,3.000246400013566,7999.342987259806,0,3028,1447.11225,784.1821956480753,311.64952223889213,431.81135977621636,44.52316323374724,621.6484297674372,638.0064606065499,65.78350741974927,932.8934496464643,494.37965852687006,50.974449230430864,9.698577738270764
3,trial_003_raw.npy,True,D#4 / Eb4,D#4 / Eb4,True,False,0.06439843464566365,515,1,0.0010277999972458929,7997.0887931307525,3.0010920999920927,7997.0887931307525,0,3013,1447.1696666666667,784.5556863267227,310.17514844571235,408.00884187657516,34.58017837609527,621.5811463022226,633.5850988691463,53.69855622383491,932.4497837894094,482.186297986195,40.86697758357808,11.798922418475007
4,trial_004_raw.npy,True,D#4 / Eb4,D#4 / Eb4,True,False,0.06438831275019766,515,1,0.0011454999912530184,7998.345942034629,3.000620400009211,7998.345942034629,0,3023,1444.629625,784.0279509410703,310.13715747555227,456.3180667035858,144.11856708203405,621.6362316204674,640.6412069902173,202.33319586074884,932.5223079741571,472.8952588245137,149.3541283035528,3.166268413172912
5,trial_005_raw.npy,True,D#4 / Eb4,D#4 / Eb4,True,False,0.06440289797925895,515,1,0.0010343000176362693,7996.53456845772,3.0013001000043005,7996.53456845772,0,3010,1444.8072083333334,773.6244580370545,310.7562106284434,421.3116000637907,44.457348316701356,621.7811667298903,653.0794519915449,68.91379366547822,932.5191478708064,457.13462135046143,48.237440141509865,9.476759546306903
6,trial_006_raw.npy,True,D#4 / Eb4,D#4 / Eb4,True,False,0.08037806228742556,643,129,0.07661210000514984,7999.695211619846,3.0001142999972217,7999.695211619846,0,3021,1443.722125,775.5583738142802,310.84226271336286,420.521460863895,31.8753108027977,621.9317485578379,660.457004912326,50.06230183880915,933.2809025405752,474.65738593839507,35.97878612555932,13.192701506991606
7,trial_007_raw.npy,True,D#4 / Eb4,D#4 / Eb4,True,False,0.06438720979220913,515,1,0.0009240000217687339,7998.482954332261,3.00056900002528,7998.482954332261,0,2832,1443.4135833333332,766.1164628938211,311.0713723778636,414.60424897541907,88.45480050488153,621.8312490136382,660.474148313327,140.9105410088322,932.5850946022346,446.8970544614938,95.34439141976632,4.687187655265114
8,trial_008_raw.npy,True,D#4 / Eb4,D#4 / Eb4,True,False,0.06439043068758717,515,1,0.0009527000074740499,7998.082859527742,3.000719100004062,7998.082859527742,0,3018,1447.1600416666668,784.7879352725197,311.085992263415,439.2169111238313,83.84831310602713,621.8389669296589,678.8842701999002,129.60179676330634,932.5438223042754,437.1591911920905,83.45548591574513,5.238231931612465
9,trial_009_raw.npy,True,D#4 / Eb4,D#4 / Eb4,True,False,0.06439407002115331,515,1,0.0011184999893885106,7997.630835119191,3.0008887000149116,7997.630835119191,0,3021,1445.75675,768.1473040208275,311.1523512828735,406.47938929070654,69.49282155408663,621.7063151442071,668.4347690742946,114.27742550214734,932.3868995449974,450.6976919963158,77.05250280805507,5.849228455551218
10,trial_010_raw.npy,True,D#4 / Eb4,D#4 / Eb4,True,False,0.06438398460388271,515,1,0.0007010999834164977,7998.883622511034,3.000418699986767,7998.883622511034,0,3019,1442.6624583333332,758.5341366909458,310.11863810896904,409.32201303073253,61.62635092042089,621.484288760826,690.9405590554879,104.02603329889398,932.5300058195926,462.812888257361,69.67978401909265,6.64199659589283
11,trial_011_raw.npy,True,D#4 / Eb4,D#4 / Eb4,True,False,0.06439685316569618,515,1,0.0010136999771930277,7997.285188375283,3.0010183999547735,7997.285188375283,0,3025,1443.6537916666666,759.0703970488792,310.5828411034198,420.51503113478657,83.59522848019482,621.5762275731889,687.4897759810927,136.6678017331476,932.5800273738446,470.5857440745804,93.54890998611629,5.030371215917114
