note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,266.91895926572846,5.699046334445121,0.6779406749333141,False,543.5606958104411,10.7487557776027,1.2786382701467933,,0.0,0.0,False
C#4 / Db4,277.18,271.56223553021806,8.54176472848104,1.0161015379271916,False,570.0424997865612,7.881389167164567,0.9375453326472877,,0.0,0.0,False
D4,293.66,279.5455007025126,213.79521464664452,25.432408092391977,False,582.4376938422918,5.7548295915048495,0.6845764762098329,869.697113296706,8.472796368353071,1.0078972781492703,False
D#4 / Eb4,311.13,310.79778590450223,424.18977020323865,50.46028444676443,True,621.6998731905161,667.8321334490822,79.4432157107049,932.6107322423131,416.5634030589917,49.553075733999435,True
E4,329.63,310.60611189168065,223.93170993596857,26.638213775418027,False,,0.0,0.0,,0.0,0.0,False
F4,349.23,,0.0,0.0,False,714.3940573508655,17.7889371427686,2.1161161614049293,,0.0,0.0,False
F#4 / Gb4,369.99,388.25763986460083,20.936312704969655,2.490518085462097,False,,0.0,0.0,,0.0,0.0,False
G4,392.0,392.74904784274685,29.31332261982558,3.487020907570391,False,,0.0,0.0,1186.227666680631,0.9027596662240653,0.10738945807888475,False
G#4 / Ab4,415.3,434.84855664835294,20.51332595750004,2.4402009088260317,False,,0.0,0.0,1243.5400360965223,589.5349092687189,70.1292235282903,False
A4 (Concert Pitch),440.0,,0.0,0.0,False,,0.0,0.0,1322.9608742197204,0.5748183650849232,0.06837858959567115,False
A#4 / Bb4,466.16,479.9235676488051,31.774218266050255,3.779761334202568,False,932.6107322423131,416.5634030589917,49.553075733999435,1409.9534216415066,6.250854262197334,0.74358201508401,False
B4,493.88,481.43947343210505,21.80367354247597,2.593696609917278,False,,0.0,0.0,,0.0,0.0,False
