note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,259.6434041631772,5.9061121190837875,3.1015061336611587,False,518.8270409693157,6.113095651494441,3.2102004290613757,789.7238977873743,4.051807433235381,2.127745859410281,False
C#4 / Db4,277.18,276.39890686339623,4.733602351714564,2.4857802276928513,False,551.2259120479216,4.653628351465036,2.443783081802941,832.4607921816214,3.8886937888174136,2.0420891772400434,False
D4,293.66,290.3536229542397,4.779939858115883,2.5101136736932887,False,591.8130522247508,6.725880527261793,3.5319952091953613,883.4949182265389,4.501700587900562,2.36400049707244,False
D#4 / Eb4,311.13,310.9483956375847,413.9638976119364,217.3869275879702,True,621.8896126424447,642.8167000746668,337.56554191705493,932.8385400099601,419.4976827594191,220.29291180080347,True
E4,329.63,328.7892355532151,5.025587928926724,2.6391120711128155,False,663.9291975870748,4.67653964985513,2.4558146062735666,987.4289066825637,3.4986015516976146,1.837238093866376,False
F4,349.23,349.7730267380229,4.136500983986712,2.1722214064098098,False,694.9190541048735,8.62671282041815,4.530188758084543,1050.2859971740666,2.6758576508696668,1.405186483026648,False
F#4 / Gb4,369.99,374.89092379022895,4.410147731518748,2.3159228886733563,False,739.1094809486677,4.873772517778664,2.5593884865674816,1114.2792732167588,7.300164830569454,3.8335719915627005,False
G4,392.0,396.8858362912817,4.159918584230921,2.1845188076999675,False,782.4302863374478,3.8248594836214393,2.008567549964531,1172.473859682835,3.2770117382185564,1.7208735291908333,False
G#4 / Ab4,415.3,419.6457002398436,5.198733995323242,2.730037129107043,False,832.4607921816214,3.8886937888174136,2.0420891772400434,1243.7888106116234,512.6675523336888,269.21967040792504,False
A4 (Concert Pitch),440.0,444.5836842161472,7.044662229263711,3.6993986353618236,False,883.4949182265389,4.501700587900562,2.36400049707244,1320.6929403078218,3.0431422471020393,1.598060476111405,False
A#4 / Bb4,466.16,462.4803250995357,3.394360815400834,1.7824976357641387,False,932.8385400099601,419.4976827594191,220.29291180080347,1396.9465097818588,3.3987091786885673,1.7847811134794898,False
B4,493.88,497.3110960321638,6.967693578062815,3.6589797034170917,False,987.4289066825637,3.4986015516976146,1.837238093866376,1485.0778981295243,3.1136069289496846,1.6350639461692775,False
