trial,raw_file,detected,detected_note,actual_note,matches_actual_note,is_false_positive,detection_audio_time_s,samples_to_detection,progressive_fft_checks,analysis_wall_time_s,sample_rate_hz,recording_wall_time_s,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,median_spectral_magnitude
1,trial_001_raw.npy,True,E4,E4,True,False,0.08139237356216472,651,137,0.0915437999938149,7998.292364613109,3.0006404999876395,7998.292364613109,0,2940,1484.8575833333334,724.6685797018479,329.7948018820392,390.19004520243374,30.710019116149635,658.6093614257078,511.541965510962,40.26105671507894,,0.0,0.0,12.705626907188817
2,trial_002_raw.npy,True,E4,E4,True,False,0.08165885804966334,653,139,0.08114470000145957,7996.682975934564,3.001244399987627,7996.682975934564,0,3088,1485.9825416666667,724.755473423658,330.1114542326418,383.0279226639265,31.307765562745214,659.6811760533624,560.8466458220599,45.8422330725361,989.1910256896068,315.4727551453331,25.78597140080932,12.234278485837136
3,trial_003_raw.npy,True,E4,E4,True,False,0.06627465825008888,530,16,0.008540700015146285,7997.023507839654,3.001116600004025,7997.023507839654,0,3070,1486.1925833333332,741.2874365179186,329.96612387937586,386.2002758747029,76.14332466939072,659.8410582606476,593.0785074860042,116.93147874548818,,0.0,0.0,5.07201750844948
4,trial_004_raw.npy,True,E4,E4,True,False,0.06641948673754086,531,17,0.015496600011829287,7994.641724623178,3.002010700001847,7994.641724623178,0,2874,1486.1256666666666,746.8221386954689,329.9745135701653,397.2774452573267,30.3134904066921,659.4771621197978,599.563626542387,45.748547918751974,988.9225049211936,285.8152013439508,21.808578532352104,13.10563184665869
5,trial_005_raw.npy,True,E4,E4,True,False,0.06627505795760953,530,16,0.010278300003847107,7996.975277471587,3.001134699967224,7996.975277471587,0,2898,1486.605,744.4729230394352,330.1593320514987,370.60529471768604,89.23839893729064,659.5831489305236,544.3876795650856,131.08362351536772,,0.0,0.0,4.152980097481542
6,trial_006_raw.npy,True,E4,E4,True,False,0.06664045033751123,533,19,0.013587599998572841,7998.145230119787,3.000695700000506,7998.145230119787,0,3088,1489.429,768.6950110153126,329.65053365936774,394.7127985096096,31.45352676751535,659.4020145982411,575.7440887343639,45.87938920304396,989.0724385846219,332.94194395222536,26.531185169753144,12.549079199514825
7,trial_007_raw.npy,True,E4,E4,True,False,0.06627195304172347,530,16,0.01246759999776259,7997.349944799768,3.000994100002572,7997.349944799768,0,2833,1487.3147083333333,761.0465320265648,330.12850418595264,398.56469618857085,96.26795790705484,659.692706366067,564.5952761521971,136.3704181501972,,0.0,0.0,4.140159455479243
8,trial_008_raw.npy,True,E4,E4,True,False,0.06650201494985959,532,18,0.008937499980675057,7999.757607361388,3.0000908999936655,7999.757607361388,0,3014,1489.5647083333333,776.0919969709272,330.00603682919666,413.956139440792,32.969578522526994,659.5621236890511,571.3708905095734,45.50689226542062,989.2447622926048,337.87047484042,26.909728083131814,12.555700072354574
9,trial_009_raw.npy,True,E4,E4,True,False,0.06626360995913273,530,16,0.010790099971927702,7998.356870790332,3.0006163000361994,7998.356870790332,0,3096,1487.9459166666666,760.9365679942367,330.0050931499043,394.66326836982586,31.43409653144987,659.7831051224979,580.6399297349251,46.24674517264339,,0.0,0.0,12.555260431136125
10,trial_010_raw.npy,True,E4,E4,True,False,0.06627796191748833,530,16,0.0096157000225503,7996.624891088457,3.0012662000372075,7996.624891088457,0,3103,1490.3627083333333,766.4929403091802,330.4535671151312,416.0749044599123,35.460086981078625,659.6921101141531,604.0671428420927,51.48177214724576,,0.0,0.0,11.733612065924383
