note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,258.6566731268082,12.364635888517608,9.398503938710695,False,527.1420646650054,3.920691387744323,2.9801632480260514,783.0933625245635,4.00404566024969,3.043521802658264,False
C#4 / Db4,277.18,274.2779763515136,3.515298785027894,2.6720196028991645,False,551.7969014672279,3.978734505522675,3.0242824987644807,834.3250210081169,1.9956416334332678,1.5169104793045602,False
D4,293.66,295.9177035204078,7.2728330629611175,5.528165228973866,False,588.02737316155,363.89519536784167,276.6009818468329,879.9614357579411,2.6850682228117733,2.0409516701772334,False
D#4 / Eb4,311.13,315.5374790662016,4.878464196477412,3.7081775297589483,False,627.0422033739983,1.7935378360781953,1.3632890259438528,929.5913311408727,2.8987894228254287,2.203403646784135,False
E4,329.63,329.4632720813983,392.85719702435694,298.61533706892897,True,658.8941516600397,500.80472392604827,380.6675111812116,988.3092328194465,314.5983331996675,239.12986199898347,True
F4,349.23,346.19616236832223,3.2873158210962377,2.4987270932135037,False,696.6967882469717,2.5356310104826902,1.9273627023072533,1046.99639740519,2.4128816032556086,1.8340594463359654,False
F#4 / Gb4,369.99,366.5623331758625,3.6302525232252774,2.759397279925702,False,736.266512537545,3.4960578063389405,2.657394310604006,1105.2100700965168,3.178911287793962,2.4163275432064,False
G4,392.0,390.5581194736025,3.3459275740468906,2.5432785701779816,False,783.0933625245635,4.00404566024969,3.043521802658264,1176.0366460766534,63.55007675069088,48.305154477002745,False
G#4 / Ab4,415.3,415.45071815902816,4.048313097733244,3.0771699981487735,False,834.3250210081169,1.9956416334332678,1.5169104793045602,1246.8869093879366,10.15773662728142,7.721014072767481,False
A4 (Concert Pitch),440.0,436.2646153287398,3.957186789499548,3.0079038285197996,False,879.9614357579411,2.6850682228117733,2.0409516701772334,1317.773416854046,578.5451349624068,439.75890424040506,False
A#4 / Bb4,466.16,467.83805963420656,9.052925959471997,6.88123459955395,False,929.5913311408727,2.8987894228254287,2.203403646784135,1403.078039423729,1.3394822532794046,1.0181560821350533,False
B4,493.88,498.2841443623642,4.820738781250312,3.6642997684348613,False,988.3092328194465,314.5983331996675,239.12986199898347,1480.3175281475174,2.2669314597233514,1.7231210401256258,False
