trial,raw_file,detected,detected_note,actual_note,matches_actual_note,is_false_positive,detection_audio_time_s,samples_to_detection,progressive_fft_checks,analysis_wall_time_s,sample_rate_hz,recording_wall_time_s,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,median_spectral_magnitude
1,trial_001_raw.npy,True,F4,F4,True,False,0.06551277686737013,524,10,0.0056711999932304025,7998.439770929449,3.0005852000322193,7998.439770929449,0,2839,1510.587875,716.6357070078732,349.10176496241996,299.7724349967041,83.74187298257728,699.026208254931,571.757573666259,159.72132364776255,,0.0,0.0,3.5797197306426685
2,trial_002_raw.npy,True,F4,F4,True,False,0.07714370795445817,617,103,0.06928399999742396,7998.059937230995,3.000727700011339,7998.059937230995,0,2910,1507.5332916666666,705.7932669915842,349.19229476403876,329.6565081513866,31.930779380563052,698.9229123943735,558.9486208035628,54.14018729990448,1048.246195555311,401.4411719198043,38.88389635237977,10.32409839491909
3,trial_003_raw.npy,True,F4,F4,True,False,0.09165023047095262,733,219,0.1726085999980569,7997.797673103671,3.0008261000039056,7997.797673103671,0,2919,1513.4497916666667,720.1993492719466,349.1879580872462,316.4830541244947,30.763526281020308,698.2549025833714,561.4431428842425,54.57470994520855,1047.4203029751109,403.1176002287198,39.184780124435235,10.287606538778043
4,trial_004_raw.npy,True,F4,F4,True,False,0.0654146826252739,523,9,0.007087000005412847,7995.14694577042,3.001821000012569,7995.14694577042,0,3085,1513.1338333333333,742.4451441834905,349.522032769296,292.22661816724997,45.37140085544919,698.8512414331657,453.89121020133757,70.47160923247404,,0.0,0.0,6.440766929332159
5,trial_005_raw.npy,True,F4,F4,True,False,0.0657666544742436,526,12,0.007833000010577962,7997.9741132491245,3.0007598999654874,7997.9741132491245,0,3086,1518.7907916666666,757.4566430697284,349.3793521382675,301.5970389952013,31.909750370237603,698.5104343567172,552.607289953922,58.467287125732454,1047.673830230337,444.55536299908766,47.03511250081257,9.451563722557431
6,trial_006_raw.npy,True,F4,F4,True,False,0.07728675040105008,618,104,0.04925250000087544,7996.195942941383,3.00142720004078,7996.195942941383,0,3090,1535.362875,808.8592505294312,349.4000972141051,346.58533465599885,30.007090053461653,698.3629376320949,552.6536845860945,47.848328314907526,1047.3695705681857,539.7643709768865,46.732381517612424,11.550114790821457
7,trial_007_raw.npy,True,F4,F4,True,False,0.0655239970163869,524,10,0.005859900003997609,7997.070140103828,3.0010990999871865,7997.070140103828,0,3088,1518.6289166666666,750.6506504229851,349.87824259027235,314.77705250821623,30.48409196410431,698.7905935288264,528.2624917240089,51.15875585778682,,0.0,0.0,10.325944852773478
8,trial_008_raw.npy,True,F4,F4,True,False,0.06539865267498438,523,9,0.005561600002693012,7997.106646817092,3.0010853999992833,7997.106646817092,0,3071,1509.9353333333333,723.8655507347593,349.9854818740465,330.98737792713064,41.46498797849533,698.9834131510848,526.3276543280788,65.9365622826505,,0.0,0.0,7.982333869210046
9,trial_009_raw.npy,True,F4,F4,True,False,0.06540038075462508,523,9,0.004584399983286858,7996.895338610299,3.001164700021036,7996.895338610299,0,3051,1514.1748333333333,719.0988876599184,349.72052934797256,327.7159920883381,79.31315944788886,699.0263984812502,522.3575487897447,126.41991406022599,,0.0,0.0,4.1319245679988
10,trial_010_raw.npy,True,F4,F4,True,False,0.07154539058352627,572,58,0.03129590000025928,7994.924555373191,3.001904500008095,7994.924555373191,0,3087,1517.91575,721.6130288287563,349.1323664744606,331.4168410007227,30.929018970272182,698.0719290506714,548.6434421467246,51.20139151297526,1047.2517363622835,415.9928872075187,38.82196167548283,10.715401006390412
11,trial_011_raw.npy,True,F4,F4,True,False,0.09441905739621385,755,241,0.16576319999876432,7996.267075954467,3.001400500012096,7996.267075954467,0,3087,1516.96825,722.8663611387241,349.265672402052,308.76413631262295,31.63729962802955,698.5031735196824,578.6274552667547,59.28865442048487,1047.5797495154409,479.6275143281576,49.1446952416883,9.759497173996122
12,trial_012_raw.npy,True,F4,F4,True,False,0.06539806865767604,523,9,0.005267400003504008,7997.178062514745,3.001058599969838,7997.178062514745,0,3037,1515.0426666666667,713.4427804932448,349.57489159014176,319.7846368211514,52.72428078751313,698.8334307850652,496.88751768806185,81.92400129918612,,0.0,0.0,6.065225206388915
