note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,266.27373108119014,1.7047439581171544,0.4762227454636794,False,527.2525278262505,7.046989441239169,1.9685869206229785,,0.0,0.0,False
C#4 / Db4,277.18,266.19233903792934,1.9355990189970038,0.5407124480802593,False,559.6374913385148,21.472300552416478,5.998318909888945,,0.0,0.0,False
D4,293.66,289.1820744456204,5.9509205408799675,1.6623984525770672,False,,0.0,0.0,884.512426255302,1.3160622117855774,0.3676439248916574,False
D#4 / Eb4,311.13,,0.0,0.0,False,610.5679214449962,3.4458637771449734,0.9626071414608585,934.0661954903906,0.8103335187495714,0.22636786668326458,False
E4,329.63,,0.0,0.0,False,648.6037889908341,5.58421258718829,1.5599580434711167,976.9086743119939,3.2146413341727533,0.8980148101135358,False
F4,349.23,349.10176496241996,299.7724349967041,83.74187298257728,True,699.026208254931,571.757573666259,159.72132364776255,,0.0,0.0,True
F#4 / Gb4,369.99,380.054994519827,102.3280466877012,28.585491152216605,False,,0.0,0.0,1119.1766451448746,0.8475373903322436,0.236760823222349,False
G4,392.0,381.6049509031226,41.429537643868706,11.573402601669837,False,,0.0,0.0,1160.0790507454926,2.0284250566525497,0.5666435389589525,False
G#4 / Ab4,415.3,396.8691489392475,29.693626026715016,8.294958337809343,False,,0.0,0.0,,0.0,0.0,False
A4 (Concert Pitch),440.0,443.45121761605867,1.6638914779060898,0.46481054470914424,False,,0.0,0.0,,0.0,0.0,False
A#4 / Bb4,466.16,,0.0,0.0,False,934.0661954903906,0.8103335187495714,0.22636786668326458,,0.0,0.0,False
B4,493.88,,0.0,0.0,False,976.9086743119939,3.2146413341727533,0.8980148101135358,1465.3630114679906,2.3092718804751,0.6450985144751864,False
