note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,256.9646416653026,6.439024206270231,2.7018707852031514,False,525.139241286421,7.8561573688966835,3.2965122352406304,788.3242432633391,9.67446784038219,4.059491187323402,False
C#4 / Db4,277.18,272.7341212881199,5.094438207226032,2.137670758516957,False,552.9405879973704,9.055008897603962,3.7995608055591115,829.9402372586528,4.8528502152278525,2.036298327427143,False
D4,293.66,290.5705524418685,12.20193520683607,5.120038565189478,False,583.1411623553131,19.46680697307302,8.168442198200927,881.6940546537669,7.359852820313981,3.088258512716456,False
D#4 / Eb4,311.13,312.338869927824,5.079076663383853,2.131224920577354,False,620.9074068204706,10.900561442833055,4.573970769673872,929.1135315923487,3.5776613938748394,1.5012179625053481,False
E4,329.63,334.9539103419315,2.8559416722122366,1.1983780649372882,False,658.4162966680373,7.105056005048888,2.9813435440388765,985.5022489449088,3.7478781644730415,1.5726424058523791,False
F4,349.23,349.18866751809657,307.781159927183,129.14766237924823,True,698.3110118742287,523.4433051107493,219.64138175031408,1047.5016006168275,479.8862216450354,201.36444916943216,True
F#4 / Gb4,369.99,374.08164231355016,8.640934593681365,3.625811611763203,False,741.7585622534417,7.936984575846535,3.330428037093761,1108.7999615905956,5.3634352688924345,2.2505442745870163,False
G4,392.0,395.87720773561495,7.5482346561321165,3.1673051760547173,False,788.3242432633391,9.67446784038219,4.059491187323402,1173.20152030119,5.5204442680501815,2.316426621701849,False
G#4 / Ab4,415.3,419.5210847832779,11.575832849441852,4.857320548639244,False,829.9402372586528,4.8528502152278525,2.036298327427143,1250.8229033079715,6.234166526354917,2.6159107138077533,False
A4 (Concert Pitch),440.0,436.5014004387533,20.57561074274598,8.633705942493918,False,881.6940546537669,7.359852820313981,3.088258512716456,1315.3883103521725,5.553181594681137,2.3301634898322243,False
A#4 / Bb4,466.16,470.9430116121913,7.633907912740568,3.203254422662329,False,928.2372429338457,4.102641805405423,1.7215043275320807,1396.6693358338455,553.4538312070598,232.2340605647902,False
B4,493.88,492.8048663745891,8.368280636176674,3.511403630265854,False,985.5022489449088,3.7478781644730415,1.5726424058523791,1483.1246256363902,4.161456779615717,1.7461836043076715,False
