trial,raw_file,detected,detected_note,actual_note,matches_actual_note,is_false_positive,detection_audio_time_s,samples_to_detection,progressive_fft_checks,analysis_wall_time_s,sample_rate_hz,recording_wall_time_s,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,median_spectral_magnitude
1,trial_001_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06453329275071155,516,2,0.0016847999941091985,7995.872796903122,3.0015485000330955,7995.872796903122,160,3413,1756.8849583333333,909.5739073430408,370.4886106769903,267.07335591995127,38.642224046030556,740.3637098336479,839.1712854372155,121.41774574690137,,0.0,0.0,6.9114385238751765
2,trial_002_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.13245068761349832,1059,545,0.416246200009482,7995.428480448864,3.0017153000226244,7995.428480448864,158,3413,1758.59175,944.6652915292167,369.9429095550385,249.25445295040186,30.076274784595263,739.5227117252797,1051.9145736856387,126.92921387601089,1109.0475451491732,179.52901647704397,21.662858847485232,8.28741108184273
3,trial_003_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06450470850081183,516,2,0.001967300020623952,7999.416042528211,3.0002190000377595,7999.416042528211,172,3423,1769.115875,934.1802266213463,371.06142759158325,301.0012422126051,48.944440518154494,740.2660097654062,943.9546521404898,153.4921649622037,,0.0,0.0,6.1498556123234795
4,trial_004_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.08389940762370195,671,157,0.13912849998450838,7997.672677374657,3.0008729999535717,7997.672677374657,165,3430,1765.552375,934.2389655625544,369.5366442742997,282.07821703281417,30.12982081287082,739.3273042304304,1013.1691254673494,108.22035293818207,1109.531414433988,172.22466366172284,18.395955243438756,9.362094078976943
5,trial_005_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.0645350772505335,516,2,0.0022552000009454787,7995.651698018759,3.001631500024814,7995.651698018759,165,3408,1757.9155833333334,929.1356403491814,370.8910120103551,263.60292213463543,48.3483739834978,740.0306866189288,971.312202315267,178.1519158891867,,0.0,0.0,5.452156927234161
6,trial_006_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.1432906209230132,1146,632,0.48921259999042377,7997.732109875634,3.0008506999583915,7997.732109875634,159,3390,1750.8215,933.4003457679052,369.66532048001363,248.91096870842512,30.972852154146445,739.6219995963257,1032.6287487782713,128.49356431333536,1109.2337510486586,198.58683699851537,24.710846508816,8.036423880811459
7,trial_007_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06451697855038219,516,2,0.0024209999828599393,7997.894687474376,3.0007897000177763,7997.894687474376,147,3399,1752.2780416666667,942.2724689775633,369.87668029065196,234.362633737028,34.91273960020174,740.2688192333036,965.3293113270347,143.80402855780872,,0.0,0.0,6.7128113239120815
8,trial_008_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06463956862850319,517,3,0.00323140001273714,7998.1969398853,3.0006762999692,7998.1969398853,147,3395,1753.3531666666668,954.799686256237,370.6048935225186,233.67644811371352,30.561960337619148,740.1172203910127,1000.7379083854154,130.88401724397883,1109.9210377102643,172.87243637245274,22.609555162835573,7.6459901633364105
9,trial_009_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06451891355009866,516,2,0.001755199977196753,7997.654821005754,3.000879700004589,7997.654821005754,140,3379,1719.6297916666667,881.9508044887504,370.163365915679,282.056598295739,72.67613637385894,740.2724691376092,938.7436937933186,241.88147032351827,,0.0,0.0,3.881007059109331
10,trial_010_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06452084639979876,516,2,0.001867000013589859,7997.4152354208645,3.00096959999064,7997.4152354208645,144,3391,1715.2817083333334,858.7853386379464,370.05431036278395,271.1430504115228,37.6257289132335,740.2180769735596,950.9900873297121,131.96611593302111,,0.0,0.0,7.206320202773744
