note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,260.1640213149841,2.6717787121129564,1.7550432210311566,False,520.9056181157033,6.375099339425587,4.187687710937213,787.2183449445821,5.462076085830542,3.5879392120809768,False
C#4 / Db4,277.18,274.88441739816295,2.487735757841429,1.634148725611906,False,551.7203500260715,6.125716836347761,4.023872845025513,828.6519083316582,5.482807330014655,3.6015571922691993,False
D4,293.66,293.031432345058,4.30851117822871,2.8301832415257198,False,591.4021248196365,13.579130729852704,8.919885927257996,877.1330327298151,2.0595511238273683,1.3528819665539376,False
D#4 / Eb4,311.13,306.29044778980574,2.3309130565480265,1.5311347231569212,False,625.1499223865615,7.670811412357647,5.038817589208172,937.787063001042,2.7168016159958475,1.7846179541078775,False
E4,329.63,326.174144422292,4.924149773887413,3.234585125191251,False,656.9852113728182,13.593776247543822,8.929506303536074,988.895303617122,2.2434647115613036,1.4736914834291943,False
F4,349.23,343.9862388437089,4.3266530296051915,2.842100296306828,False,696.4317974826179,11.133963353662553,7.313699603363206,1044.727950773583,1.9569157103807457,1.2854626156209517,False
F#4 / Gb4,369.99,369.73672135500703,207.46658921410827,136.28105850978972,True,739.4696381659206,1032.5099770721552,678.2371712492744,1109.2142112476222,173.9865836993196,114.28864706777077,True
G4,392.0,395.52500699202875,5.68321822172195,3.733203490413979,False,787.2183449445821,5.462076085830542,3.5879392120809768,1180.8353426091762,2.461038499021445,1.616611778072163,False
G#4 / Ab4,415.3,411.0640811892337,4.729723662745355,3.1068701213983427,False,828.6519083316582,5.482807330014655,3.6015571922691993,1248.2990414679061,3.337559140026845,2.1923823694449167,False
A4 (Concert Pitch),440.0,441.2357779202268,8.593717668994238,5.645058054413589,False,875.669165126501,2.760822785364793,1.8135346658597022,1321.1935719603655,2.4930940480076917,1.6376684897263452,False
A#4 / Bb4,466.16,461.39997539525524,3.5345465646462326,2.3217798538395846,False,933.7699508661178,2.0582028423631575,1.3519963047912036,1402.3551706504184,2.6045657783948086,1.7108922577972434,False
B4,493.88,497.0450034984164,12.322568008725035,8.094472551697594,False,988.895303617122,2.2434647115613036,1.4736914834291943,1478.9405985564986,753.6783442320789,495.0777034361573,False
