note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,270.922747796492,18.400275010617744,2.003231710732089,False,520.4458129288879,43.32399142508928,4.716668278498207,795.6321016451,7.968041665274235,0.8674779984049811,False
C#4 / Db4,277.18,272.5136887037823,19.257173204081095,2.0965219269394173,False,539.3028741689549,85.9823597472076,9.3608703951321,835.4045481012038,4.669575042569437,0.5083750539337291,False
D4,293.66,288.55977389566664,15.501043213837717,1.687593326592659,False,575.0430508742257,20.337629947314987,2.2141508867713493,878.161150046003,2.9897916019814357,0.3254975994714022,False
D#4 / Eb4,311.13,307.56589630199466,28.282668597995386,3.079124554765496,False,,0.0,0.0,,0.0,0.0,False
E4,329.63,,0.0,0.0,False,674.2545834467104,4.672473453123412,0.5086906029094423,998.999851757809,2.1648686732033062,0.23568851950467518,False
F4,349.23,,0.0,0.0,False,,0.0,0.0,1040.6446456494116,6.870479280115248,0.7479867531280218,False
F#4 / Gb4,369.99,369.700213730704,292.8104043604691,31.87816958761231,True,739.5359901761647,980.6036522792763,106.7579876263817,1108.719528465329,238.05488135630446,25.916954336407187,True
G4,392.0,,0.0,0.0,False,795.6321016451,7.968041665274235,0.8674779984049811,1186.4663231717009,4.164435224364738,0.45338065294802743,False
G#4 / Ab4,415.3,431.44229933516397,3.768864083894938,0.4103149568112958,False,835.4045481012038,4.669575042569437,0.5083750539337291,1249.5922547046384,4.549577720819316,0.49531098614158725,False
A4 (Concert Pitch),440.0,,0.0,0.0,False,878.161150046003,2.9897916019814357,0.3254975994714022,,0.0,0.0,False
A#4 / Bb4,466.16,474.98318155060633,57.082537679025826,6.214556551013465,False,,0.0,0.0,1401.1827237638574,4.06840327728782,0.4429256873827401,False
B4,493.88,508.4855670735861,72.2363891105677,7.864351225814274,False,998.999851757809,2.1648686732033062,0.23568851950467518,1478.807883434936,538.1941611389806,58.59301610994054,False
