trial,raw_file,detected,detected_note,actual_note,matches_actual_note,is_false_positive,detection_audio_time_s,samples_to_detection,progressive_fft_checks,analysis_wall_time_s,sample_rate_hz,recording_wall_time_s,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,median_spectral_magnitude
1,trial_001_raw.npy,True,G4,G4,True,False,0.06602975499990861,528,14,0.011767699994379655,7996.394958617228,3.0013524999958463,7996.394958617228,128,3347,1697.622625,812.2774143242885,391.661631408752,215.60508561073715,51.91067928537659,784.2988003225887,885.7691742322297,213.26435503222788,,0.0,0.0,4.1533859425236574
2,trial_002_raw.npy,True,G4,G4,True,False,0.06639310046252649,531,17,0.013847499998519197,7997.818994756938,3.0008181000011973,7997.818994756938,116,3356,1705.6250416666667,843.899993086372,391.4263383798797,221.29482692417864,30.68913833916631,783.5000723245109,982.5205567716163,136.2558253481901,1174.9292578027162,468.91984218536965,65.02974383462423,7.210851750821436
3,trial_003_raw.npy,True,G4,G4,True,False,0.06592477734525407,527,13,0.011358499992638826,7993.959497808433,3.0022668999736197,7993.959497808433,125,3353,1695.9268333333334,834.5068303387641,392.1319944164447,218.20224311719136,30.000983271742847,783.9826192971332,913.5296586898285,125.60268683340229,,0.0,0.0,7.273169720497475
4,trial_004_raw.npy,True,G4,G4,True,False,0.09688550448020881,775,261,0.19998959999065846,7999.132627299395,3.000325300032273,7999.132627299395,125,3353,1697.8983333333333,826.978801166,392.11199496881324,235.8121976241635,30.07859776387566,783.9320217165275,958.6196807694333,122.2749971244239,1176.0715886374692,559.7453451125191,71.39730368263197,7.83986672102692
5,trial_005_raw.npy,True,G4,G4,True,False,0.0660094731991412,528,14,0.007457800005795434,7998.8518982282885,3.000430599960964,7998.8518982282885,123,3349,1700.19875,843.1628370193445,392.2974859377741,223.74925828251685,35.45328913558352,784.3984674167717,983.4888303728113,155.83476849249791,,0.0,0.0,6.311100147205967
6,trial_006_raw.npy,True,G4,G4,True,False,0.06601513820001856,528,14,0.013735499989707023,7998.1654874404485,3.0006881000008434,7998.1654874404485,128,3347,1699.984875,839.1470048310304,392.10422756081977,241.21236510621316,41.542416650618215,784.421295108128,923.3795995386155,159.02758564563362,,0.0,0.0,5.806411483830312
7,trial_007_raw.npy,True,G4,G4,True,False,0.0660157409994863,528,14,0.011089299980085343,7998.0924550117315,3.00071549997665,7998.0924550117315,126,3345,1692.8012083333333,821.2942996395886,392.37591263250926,246.0572506722339,88.20372014984466,784.4340418937836,909.2483627321727,325.9366993414228,,0.0,0.0,2.7896470835268645
8,trial_008_raw.npy,True,G4,G4,True,False,0.0659121732630859,527,13,0.01084830000763759,7995.488145968116,3.0016929000266828,7995.488145968116,121,3344,1683.52375,818.598460986389,392.2259648663173,216.258852072422,66.54228121309565,784.1484907875613,863.1304592279828,265.58297702561913,,0.0,0.0,3.2499464720764917
9,trial_009_raw.npy,True,G4,G4,True,False,0.0660095040006563,528,14,0.010847800003830343,7998.848165784586,3.000432000029832,7998.848165784586,117,3349,1688.845,830.1092595953576,392.4030284119928,244.20996762859258,84.8873360730765,784.5226389813498,916.881139125976,318.7077012123532,,0.0,0.0,2.8768716150823828
10,trial_010_raw.npy,True,G4,G4,True,False,0.06590919571214181,527,13,0.007654299988644198,7995.849354643481,3.0015572999836877,7995.849354643481,113,3344,1691.5414166666667,839.5505036396955,392.2396581283934,240.49247007142145,75.03657278763917,784.2553825709813,889.0458473072221,277.3931067912642,,0.0,0.0,3.2050033888413134
11,trial_011_raw.npy,True,G4,G4,True,False,0.06600021780037787,528,14,0.01234320001094602,7999.973600041318,3.000009900017176,7999.973600041318,123,3345,1691.7013333333334,833.436312434955,392.15884764789627,253.4991311625227,53.38298098656809,784.6224004907523,923.1541715898285,194.4019348849606,,0.0,0.0,4.748688186339887
12,trial_012_raw.npy,True,G4,G4,True,False,0.06600932360056322,528,14,0.007394000014755875,7998.870026226035,3.000423800025601,7998.870026226035,117,3344,1688.44275,815.6669087277726,392.22904213063583,233.25919516511928,42.66962252245358,784.5398986459545,938.9891737392245,171.7673490546051,,0.0,0.0,5.466633669945727
13,trial_013_raw.npy,True,G4,G4,True,False,0.06602648799936287,528,14,0.011135100008687004,7996.790621441125,3.0012039999710396,7996.790621441125,119,3343,1694.4055416666667,842.6533634041989,391.99592382621057,229.51581096176199,47.97878585946121,784.3290395330846,933.9549297221288,195.23719689617218,,0.0,0.0,4.783693602294491
14,trial_014_raw.npy,True,G4,G4,True,False,0.08652345880072486,692,178,0.09439750001183711,7997.8309881689875,3.0008136000251397,7997.8309881689875,112,3345,1697.3612916666666,844.7393484286229,392.5706226782599,204.69635167577005,30.154544405506954,784.1225973026197,960.8584633535091,141.5474626850922,1176.1190542948614,556.9315163066883,82.04355378984638,6.788242227210951
