note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,255.98871028493363,6.248685775559766,1.9227042135150265,False,,0.0,0.0,784.1484907875613,863.1304592279828,265.58297702561913,False
C#4 / Db4,277.18,288.26238097418263,2.7802457255343374,0.855474313014747,False,,0.0,0.0,847.3727208833252,7.8383962453952805,2.4118539529012875,False
D4,293.66,,0.0,0.0,False,595.411031050709,3.5335900142422925,1.0872763735042603,882.2821946829326,3.588961887643204,1.1043141536266918,False
D#4 / Eb4,311.13,,0.0,0.0,False,617.0729208049675,5.299198493843252,1.6305494688524607,,0.0,0.0,False
E4,329.63,336.6495607667773,1.6465316141006332,0.5066334563500097,False,,0.0,0.0,980.7331807416415,1.495418696612109,0.46013640823340685,False
F4,349.23,337.4383064100314,3.07061310680442,0.9448195941647339,False,691.2066702892108,3.2499464720764917,1.0,1052.7388745933279,1.4943817470176506,0.45981734156465776,False
F#4 / Gb4,369.99,,0.0,0.0,False,732.5107481042586,18.36773094885819,5.651702607004008,1094.1539794347057,2.0043940760597008,0.6167467966877102,False
G4,392.0,392.2259648663173,216.258852072422,66.54228121309565,True,784.1484907875613,863.1304592279828,265.58297702561913,,0.0,0.0,True
G#4 / Ab4,415.3,,0.0,0.0,False,847.3727208833252,7.8383962453952805,2.4118539529012875,1245.3726052280806,2.1710783389752843,0.6680351069253504,False
A4 (Concert Pitch),440.0,448.7892376819849,3.3202895926272675,1.021644393578529,False,882.2821946829326,3.588961887643204,1.1043141536266918,1325.5653462755668,2.5302694531946344,0.7785572700765028,False
A#4 / Bb4,466.16,469.0836029082869,1.762736465583174,0.5423893841725052,False,,0.0,0.0,1400.748275944081,2.691694758575995,0.8282274128829537,False
B4,493.88,,0.0,0.0,False,980.7331807416415,1.495418696612109,0.46013640823340685,,0.0,0.0,False
