note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,256.7627610681074,7.295697785031934,6.451771464477552,False,518.7985697046097,2.8019595599142613,2.47784423997982,783.5756108805389,909.3604025966705,804.1705768618727,False
C#4 / Db4,277.18,274.8898042409235,1.7217288176943677,1.5225686675727035,False,552.8478234791692,2.8249856838691496,2.4982068281580836,830.3668347663593,3.1637727945794945,2.7978049033275627,False
D4,293.66,295.26810007958863,1.5238820154878625,1.347607698735303,False,591.6825490228123,2.7588785131210742,2.439746572484553,882.3866858746909,2.1271241199531974,1.881070063876816,False
D#4 / Eb4,311.13,314.7466092087419,1.544650672853494,1.365973951682622,False,620.0656688343571,4.295914237922638,3.7989864315563597,935.63326514481,2.3444664247556832,2.0732714024554704,False
E4,329.63,333.4526930797093,3.6916374600251127,3.2646090783326165,False,658.1334538813591,2.552141940056921,2.256924152743472,990.8658361182313,2.1487840498839144,1.9002244918653612,False
F4,349.23,353.54605706869495,4.987998287070553,4.411013992302292,False,701.6960171420249,1.360167930362889,1.2028311614026603,1052.3381443002827,2.277294922198493,2.013869931041223,False
F#4 / Gb4,369.99,372.16026926232064,8.251584255285639,7.297086228572599,False,735.0455210816725,6.170695786713899,5.456903529415909,1107.953730864967,1.3129455011932438,1.1610711639387994,False
G4,392.0,391.8024565433149,232.8626654784616,205.9263890231912,True,783.5756108805389,909.3604025966705,804.1705768618727,1175.3318256942227,492.1706717316164,435.2390667888517,True
G#4 / Ab4,415.3,419.71948712817255,2.6894911433217112,2.3783855532020466,False,830.3668347663593,3.1637727945794945,2.7978049033275627,1242.1211334913423,1.7468130665730197,1.5447513080673756,False
A4 (Concert Pitch),440.0,437.43609820919215,3.1205802379258913,2.759608624821171,False,882.3866858746909,2.1271241199531974,1.881070063876816,1318.4349661490512,1.4258195649435823,1.26088857483514,False
A#4 / Bb4,466.16,468.8356794562184,3.8480893947930386,3.402963511046223,False,935.63326514481,2.3444664247556832,2.0732714024554704,1397.0348849515137,1.7641312820600277,1.5600662473352804,False
B4,493.88,491.0921463406352,8.096867388140863,7.160266160372137,False,990.8658361182313,2.1487840498839144,1.9002244918653612,1483.661970314445,2.149709648547086,1.9010430223498422,False
