trial,raw_file,detected,detected_note,actual_note,matches_actual_note,is_false_positive,detection_audio_time_s,samples_to_detection,progressive_fft_checks,analysis_wall_time_s,sample_rate_hz,recording_wall_time_s,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,median_spectral_magnitude
1,trial_001_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.06465569902970067,517,3,0.0019789999932982028,7996.2015376634845,3.0014251000247896,7996.2015376634845,165,3403,1629.4430833333333,812.4240479137487,415.2994447172802,308.95383389524386,30.55758155327012,830.8196374633941,790.6939861234968,78.20487501327277,,0.0,0.0,10.110545998434263
2,trial_002_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.06464737102064828,517,3,0.0016917999892029911,7997.23162500871,3.0010384999914095,7997.23162500871,78,3283,1620.368,810.2458478284519,416.35523720296385,333.35477405762197,46.41512587076709,830.912166694803,810.1854042551896,112.80731653977384,,0.0,0.0,7.182028871057604
3,trial_003_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.06464116271268965,517,3,0.0020388999837450683,7997.9997002514965,3.0007503000088036,7997.9997002514965,133,3281,1618.6411666666668,794.1993223862586,415.8443702146537,336.1777254406734,61.326931058237314,830.9907612130478,784.5167356025402,143.11478755846625,,0.0,0.0,5.4817307769963595
4,trial_004_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.06464495189186951,517,3,0.001991700002690777,7997.53089560306,3.000926200009417,7997.53089560306,79,3280,1616.7602083333334,801.0818707421699,415.4022400485576,342.4232242342344,53.846317155668565,830.9946633706865,828.8507317634866,130.33741936474252,,0.0,0.0,6.35926916309422
5,trial_005_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.06465887857883354,517,3,0.002591500000562519,7995.808330787274,3.0015726999845356,7995.808330787274,78,3280,1616.2523333333334,805.8387677855965,415.0491460863749,323.68165875709104,60.108879245119454,830.7661055440598,812.9257535934067,150.96331421937057,,0.0,0.0,5.3849225409301305
6,trial_006_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.06465034161653117,517,3,0.002795200009131804,7996.864163016308,3.00117639999371,7996.864163016308,54,3274,1633.1931666666667,914.0703512559992,433.09902623686,327.9740513484042,34.45188403879003,831.0656409519892,708.6728455903,74.44221455123711,,0.0,0.0,9.519771138760714
7,trial_007_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.1879269036015321,1503,989,0.7610450999927707,7997.790477018994,3.0008288000244647,7997.790477018994,59,3273,1616.9355416666667,819.7831012839135,415.14015838602063,293.01850972167307,30.48037695013792,830.1227724194072,801.942243140593,83.4196511557661,1245.2951073833997,549.3343389139387,57.142866973339224,9.613349277176416
8,trial_008_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.06476512128289323,518,4,0.002449199993861839,7998.132169588358,3.0007005999796093,7998.132169588358,60,3279,1619.048875,829.1887885084989,415.4403776453865,329.8793435511261,30.196769460651677,830.7808876792163,810.7578528438405,74.2158260265364,1245.938345911381,509.3386256311678,46.62426234398586,10.924325662749455
9,trial_009_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.06464193605814217,517,3,0.0018177999882027507,7997.9040159778715,3.0007861999911256,7997.9040159778715,76,3266,1611.7771666666667,789.4555123705343,415.18472764209343,316.6292330549333,74.71125980041353,830.8972328978932,734.9726547762164,173.4228151563594,,0.0,0.0,4.238039003769828
10,trial_010_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.0746383852380677,597,83,0.06850480000139214,7998.56532393888,3.0005381000228226,7998.56532393888,63,3279,1622.4644166666667,865.6161566321427,413.37096457228984,297.89369372673997,30.756352318810766,830.4219555177835,848.1888385516613,87.57216181725475,1245.1886167815883,547.697415978304,56.547604211397555,9.685598950059706
11,trial_011_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.06463530768699274,517,3,0.002606999973068014,7998.724203552317,3.0004784999764524,7998.724203552317,64,3280,1618.308125,849.6085494484829,415.79882897854816,307.79520562101845,53.29868579543538,831.0523982757809,807.6424662425678,139.85364702631236,,0.0,0.0,5.774911726761164
12,trial_012_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.06465472534647658,517,3,0.0017612999945413321,7996.321958363626,3.0013799000298604,7996.321958363626,66,3265,1611.4089166666668,815.6195223084773,415.83718155058693,303.75845481407924,45.45711067081771,830.8564819996965,799.1274615247123,119.58852464156911,,0.0,0.0,6.682308891424643
13,trial_013_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.06464399113374383,517,3,0.0029405999812297523,7997.649757273861,3.0008816000190563,7997.649757273861,66,3263,1609.74725,804.6333702811245,412.8206723684801,265.81128244684896,41.0474938847707,830.9784953376482,802.3300222783139,123.89856585422542,,0.0,0.0,6.4757006406539555
14,trial_014_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.0646428989717048,517,3,0.0027117000136058778,7997.784880073198,3.000830900040455,7997.784880073198,208,3273,1610.0384166666668,802.9345175256424,415.6372239934124,315.4368243940236,109.4609627210989,830.9686206119482,784.2973191808749,272.1620716986336,,0.0,0.0,2.881728942926813
15,trial_015_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.06464810559080554,517,3,0.0025547000113874674,7997.140755715034,3.0010725999600254,7997.140755715034,75,3278,1609.2079583333334,801.3376613286327,415.4207716422161,320.98820920812597,62.0597344394671,830.8314992648252,794.1545254515742,153.5415243912269,,0.0,0.0,5.172245935425602
16,trial_016_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.06463272053318846,517,3,0.0025265000003855675,7999.044380849234,3.0003583999932744,7999.044380849234,82,3263,1608.327,788.6505501327944,415.68476132942556,312.3852593453217,45.218926365687835,831.0316642791435,807.5051980252629,116.88937616947572,,0.0,0.0,6.908285632857482
17,trial_017_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.06464844595047664,517,3,0.003011199994944036,7997.098652549872,3.0010884000221267,7997.098652549872,124,3275,1608.627,797.3740312804316,415.3541770558816,333.81768212178906,47.23729463108709,830.8851908171054,750.4482364186397,106.19312980596942,,0.0,0.0,7.066824735176558
18,trial_018_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.06463231124216691,517,3,0.001772500021615997,7999.095035653048,3.000339400023222,7999.095035653048,67,3262,1608.9203333333332,783.6008617803006,416.07510623006556,343.98123201649463,31.713611428194564,831.3628078961319,809.3975156890039,74.62301984625779,,0.0,0.0,10.846485673677728
19,trial_019_raw.npy,True,G#4 / Ab4,G#4 / Ab4,True,False,0.06465862654192218,517,3,0.003105300012975931,7995.839498149516,3.0015610000118613,7995.839498149516,50,3266,1635.2244166666667,915.3900431924955,415.96626200880144,300.64264592121344,54.93499610205207,830.7833248501206,806.2209790010959,147.31691241975165,,0.0,0.0,5.4726980477565395
