note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,263.11892146830036,1.2866195172770094,2.5848122607208652,False,520.8405058873533,2.315582790682797,4.65199439904228,788.1923598612908,0.8584806295080482,1.7246833480655306,False
C#4 / Db4,277.18,280.9257701244303,1.4645458544035062,2.9422653939385737,False,556.7236633988589,3.117125842895501,6.262290435309352,829.9472448254035,844.9099125449314,1697.4198446583423,False
D4,293.66,295.8858100980236,2.364692495975784,4.750655554618681,False,591.3083862139134,2.9711436108256275,5.9690128515057115,880.3540522406951,0.8476284384490461,1.7028813497837383,False
D#4 / Eb4,311.13,310.470441907328,3.053895759804275,6.135261510420587,False,620.013400180993,0.8578517583631025,1.7234199490388242,936.472997280787,0.8545529799805813,1.7167927195478652,False
E4,329.63,327.4112280342674,1.4377478554012433,2.888428346191597,False,660.4746175118496,1.7137317607897373,3.442878650131933,987.0892668682039,0.8066900438220468,1.6206363170097526,False
F4,349.23,351.1016610219388,1.3090914717892852,2.629958306436559,False,696.3424925912532,1.1720396184350959,2.354621809401161,1052.4073477637432,1.4493608626539498,2.911758820451901,False
F#4 / Gb4,369.99,371.89913900866895,4.743314051193708,9.529294520514684,False,737.2863255859933,0.9863934510461615,1.9816595752837054,1114.3025359899461,0.6977185213670504,1.4017130661739348,False
G4,392.0,391.82814172979874,4.198436114833704,8.434637435349085,False,788.1923598612908,0.8584806295080482,1.7246833480655306,1178.6726200114967,0.7639753781805328,1.5348227645335344,False
G#4 / Ab4,415.3,414.9909532407952,290.11072638466817,582.8310176055543,True,829.9472448254035,844.9099125449314,1697.4198446583423,1244.952101058192,512.612620113582,1029.8362240564081,True
A4 (Concert Pitch),440.0,439.42138819015946,4.8987886084978625,9.841642138869213,False,880.3540522406951,0.8476284384490461,1.7028813497837383,1323.8371414254107,1.027261234546097,2.063762750651887,False
A#4 / Bb4,466.16,470.8550700399315,3.260039396008902,6.5494030582334215,False,936.472997280787,0.8545529799805813,1.7167927195478652,1403.4153079302166,0.6432943995547329,1.2923752740369323,False
B4,493.88,494.0053708627963,3.7320535806546524,7.497677225788908,False,987.0892668682039,0.8066900438220468,1.6206363170097526,1483.1531083912582,0.8541136035099657,1.7159100143867285,False
