note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,256.143750013515,9.37443109937461,0.9847328221164543,False,525.6741099485398,11.000833090893193,1.1555774745573648,786.9045143782173,16.64217531704384,1.7481696854332491,False
C#4 / Db4,277.18,286.3035867466169,34.207700799270654,3.5933322661498166,False,564.9356074561866,17.22588870518816,1.809485590998213,831.0656409519892,708.6728455903,74.44221455123711,False
D4,293.66,286.2988335637888,34.44443481083843,3.618199881990274,False,603.2450722584837,9.66511117814682,1.0152671778835458,895.2427353266736,23.108250882780187,2.42739563230597,False
D#4 / Eb4,311.13,313.01697916000336,9.273420303195486,0.9741221892864436,False,626.5704847105766,2.770535145406292,0.2910295956722927,,0.0,0.0,False
E4,329.63,311.9554121282826,18.271761868079476,1.9193488584703622,False,,0.0,0.0,993.9689217806703,15.259470032741294,1.6029240420088267,False
F4,349.23,,0.0,0.0,False,701.0995498450573,7.822097144299475,0.8216686126466857,1059.3735042882308,2.689685272461503,0.28253675779139026,False
F#4 / Gb4,369.99,360.4349523887247,101.6496058825285,10.677736302782725,False,726.9876511833007,14.760704694464007,1.550531465442935,1108.2395450506417,1.185795142610057,0.12456130775896196,False
G4,392.0,,0.0,0.0,False,786.9045143782173,16.64217531704384,1.7481696854332491,1189.017984606287,276.0236549638034,28.994778439572467,False
G#4 / Ab4,415.3,433.09902623686,327.9740513484042,34.45188403879003,True,831.0656409519892,708.6728455903,74.44221455123711,,0.0,0.0,True
A4 (Concert Pitch),440.0,,0.0,0.0,False,895.2427353266736,23.108250882780187,2.42739563230597,,0.0,0.0,False
A#4 / Bb4,466.16,462.48081387013474,34.88933113382574,3.6649338125126025,False,931.7645816523325,2.2577809803503217,0.23716756920316473,,0.0,0.0,False
B4,493.88,501.01278003720023,2.7402753106456914,0.2878509651863775,False,993.9689217806703,15.259470032741294,1.6029240420088267,1470.4921753428355,2.0532870880334557,0.21568660192609979,False
