trial,raw_file,detected,detected_note,actual_note,matches_actual_note,is_false_positive,detection_audio_time_s,samples_to_detection,progressive_fft_checks,analysis_wall_time_s,sample_rate_hz,recording_wall_time_s,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,median_spectral_magnitude
1,trial_001_raw.npy,True,A4 (Concert Pitch),A4 (Concert Pitch),True,False,0.06564190718763711,525,11,0.008167299994966015,7997.939464179334,3.000772900006268,7997.939464179334,45,3249,1623.5435833333333,986.4883987696954,440.3062148684118,196.0587061003741,53.40713867386253,880.5851930732513,605.6317746104805,164.97640331952425,,0.0,0.0,3.6710205970335066
2,trial_002_raw.npy,True,A4 (Concert Pitch),A4 (Concert Pitch),True,False,0.06564631937435479,525,11,0.008919500018237159,7997.40191077788,3.0009745999705046,7997.40191077788,30,3233,1613.6530833333334,953.8134282016682,439.94012525308995,191.83575539992898,36.92216024819379,880.3438743955005,585.3597045928219,112.66275554707957,,0.0,0.0,5.195680699893866
3,trial_003_raw.npy,True,A4 (Concert Pitch),A4 (Concert Pitch),True,False,0.0656501059376751,525,11,0.006222199997864664,7996.940637055613,3.001147700008005,7996.940637055613,32,3225,1607.7532083333333,921.0424695348302,440.54058684622055,204.60233234227422,44.59829274809753,880.3297092472391,537.5818176766571,117.1796577601587,,0.0,0.0,4.587671853223623
4,trial_004_raw.npy,True,A4 (Concert Pitch),A4 (Concert Pitch),True,False,0.06564705656237493,525,11,0.008679699996719137,7997.312103417283,3.0010082999942824,7997.312103417283,38,3231,1615.206,973.3881836591044,440.1255582863905,191.1084392352347,37.00789339146569,880.4560657855851,529.1754630534083,102.47411993122165,,0.0,0.0,5.163991292714483
5,trial_005_raw.npy,True,A4 (Concert Pitch),A4 (Concert Pitch),True,False,0.06577612028321407,526,12,0.008580699999583885,7996.823128746226,3.001191799994558,7996.823128746226,19,3235,1620.86025,994.6098478387543,440.0878630150875,193.18374501938123,30.449894647668753,879.9168382840996,542.7759154221567,85.55310613860661,1319.971906329231,545.3080769487602,85.95222901360948,6.344315711258837
6,trial_006_raw.npy,True,A4 (Concert Pitch),A4 (Concert Pitch),True,False,0.06563750593722943,525,11,0.005919399991398677,7998.475757169519,3.0005716999876313,7998.475757169519,23,3236,1616.983625,997.9879471238457,440.4999667620951,193.63213806503387,35.3213978849309,880.4444149928145,477.559254958826,87.11395033177031,,0.0,0.0,5.482006649222758
7,trial_007_raw.npy,True,A4 (Concert Pitch),A4 (Concert Pitch),True,False,0.06563035718754691,525,11,0.010017699998570606,7999.346986635273,3.0002449000021443,7999.346986635273,29,3250,1619.9845416666667,1003.3834955145521,440.8325368952602,189.60878639689108,39.67458288684687,880.6517303486191,446.79659043868827,93.48969896265822,,0.0,0.0,4.779099680459431
8,trial_008_raw.npy,True,A4 (Concert Pitch),A4 (Concert Pitch),True,False,0.16592626643427502,1327,813,0.7588279999908991,7997.528230562804,3.0009272000170313,7997.528230562804,1,3255,1621.1516666666666,1007.0249332636032,439.4849142008502,182.89738079497965,30.837469882246552,879.9895086022746,421.7616593538735,71.11125600202365,1319.535766594988,593.0265638275096,99.9874285892724,5.931011250059641
9,trial_009_raw.npy,True,A4 (Concert Pitch),A4 (Concert Pitch),True,False,0.06564063624937262,525,11,0.007297899981494993,7998.094320802959,3.0007147999713197,7998.094320802959,45,3249,1626.8616666666667,1020.7496668016358,440.391202086735,329.45336106006994,33.2367168279097,880.4722774255869,492.5494075755898,49.69056964745808,,0.0,0.0,9.912331677219687
10,trial_010_raw.npy,True,A4 (Concert Pitch),A4 (Concert Pitch),True,False,0.06555484096740838,524,10,0.006263899995246902,7993.307470008429,3.0025118000339717,7993.307470008429,22,3243,1622.4940416666666,994.1114479087765,440.19887496176847,209.35393590440603,42.07169738142434,879.8747664249425,520.1168006168107,104.52249939326099,,0.0,0.0,4.9761228791506
