note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,259.15651517032495,1.73325890715381,0.9910212242566505,False,520.9077980911729,11.146305714362938,6.373096073180378,782.4998728393017,2.0513629615733784,1.1729028047584085,False
C#4 / Db4,277.18,275.98134791332404,2.7926798191629802,1.596763739058714,False,550.149939061642,3.6443050003690582,2.0836953949141797,832.4446037395787,2.599514517808973,1.4863180851280486,False
D4,293.66,292.29716408033687,14.052861219178116,8.034970235697651,False,584.8875918509958,47.26407561646248,27.024065410805346,879.6794017285847,458.98501129912466,262.4327421227822,False
D#4 / Eb4,311.13,309.9073615779724,4.35318125832158,2.489007846564105,False,619.3805824260868,3.9090623121753003,2.2350750383097395,929.2642397631884,8.456105684747799,4.834926953817596,False
E4,329.63,325.12921947622016,3.5358838148922276,2.0217036777372885,False,657.1513702915532,3.6033180702712824,2.060260397709567,988.0722629780788,2.3405887962667564,1.3382727558958052,False
F4,349.23,350.364780662841,7.0976377645254605,4.05819905941269,False,694.2080268021339,5.087384371226375,2.9088013723904145,1046.4687285538516,2.411132884725281,1.3786075775544095,False
F#4 / Gb4,369.99,365.5766891060494,4.536567595144634,2.593862205760078,False,735.6222880467395,4.2387825005333175,2.4235983474241687,1108.146331447883,2.308786460701905,1.320089211939609,False
G4,392.0,390.3647106627493,3.4632197134888734,1.980156701440186,False,782.4998728393017,2.0513629615733784,1.1729028047584085,1170.9149650839915,7.858501893575052,4.493236489511286,False
G#4 / Ab4,415.3,415.37078531835436,4.916488946473929,2.8110889115693487,False,832.4446037395787,2.599514517808973,1.4863180851280486,1246.3641006176738,4.578193003154387,2.6176622639255065,False
A4 (Concert Pitch),440.0,439.85332491986264,209.190325144161,119.60824275666987,True,879.6794017285847,458.98501129912466,262.4327421227822,1319.494409826459,523.7737079053264,299.47681739835963,True
A#4 / Bb4,466.16,464.53809980957243,66.2475206540235,37.878183548657844,False,929.2642397631884,8.456105684747799,4.834926953817596,1401.6774515712968,5.244200996464206,2.998464032299769,False
B4,493.88,491.91694006397944,6.724534764045262,3.844870865463357,False,988.0722629780788,2.3405887962667564,1.3382727558958052,1482.4251504378046,5.073272611907339,2.9007327261315985,False
