note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,261.5414146812677,1.809837376447306,0.5561842348889786,False,,0.0,0.0,,0.0,0.0,False
C#4 / Db4,277.18,279.73221061255737,3.682847706907274,1.13178225885672,False,,0.0,0.0,,0.0,0.0,False
D4,293.66,284.63437144526864,3.3825612066546453,1.0395006983342239,False,,0.0,0.0,880.3969344964225,504.3534518828244,154.9937261764973,False
D#4 / Eb4,311.13,,0.0,0.0,False,613.9217538921696,0.8501627346730681,0.26126497124479586,937.3137649825253,3.802687710283966,1.1686104962743808,False
E4,329.63,,0.0,0.0,False,639.8465434691419,0.9533873118253098,0.2929870934709689,1001.6078729414509,1.0707132991104253,0.3290427442824583,False
F4,349.23,356.69547970111347,8.279265565535471,2.5443153312753366,False,695.1921112979358,2.2040076597229703,0.6773173821389246,1050.7888697183205,2.097772885029111,0.6446701909323352,False
F#4 / Gb4,369.99,356.67408824658156,7.707048248190041,2.368466243959696,False,,0.0,0.0,1116.2404726197922,4.20874487611894,1.2933966218347002,False
G4,392.0,389.02363076162436,0.33886608862040046,0.10413752013406144,False,,0.0,0.0,1169.5408115317807,2.1739198837478586,0.6680710559894018,False
G#4 / Ab4,415.3,402.6544675428156,7.543006130448547,2.3180541788023725,False,,0.0,0.0,1233.9897624047737,3.6657030526674568,1.126513505694197,False
A4 (Concert Pitch),440.0,440.09119698043463,191.11079061058376,58.730585542125965,True,880.3969344964225,504.3534518828244,154.9937261764973,,0.0,0.0,True
A#4 / Bb4,466.16,,0.0,0.0,False,937.3137649825253,3.802687710283966,1.1686104962743808,1401.1632212043564,13.359298074664556,4.105468853172093,False
B4,493.88,,0.0,0.0,False,1001.6078729414509,1.0707132991104253,0.3290427442824583,1471.6978061657687,3.455501108644139,1.061915984983093,False
