trial,raw_file,detected,detected_note,actual_note,matches_actual_note,is_false_positive,detection_audio_time_s,samples_to_detection,progressive_fft_checks,analysis_wall_time_s,sample_rate_hz,recording_wall_time_s,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,median_spectral_magnitude
1,trial_001_raw.npy,True,A#4 / Bb4,A#4 / Bb4,True,False,0.06439035772869829,515,1,0.0007476000173483044,7998.091921928684,3.000715699978173,7998.091921928684,97,3065,1649.200875,762.1534691389301,465.9154366940144,230.2212263033469,67.54738294623505,931.7935187168796,623.3306718004053,182.8865055855357,1397.6635933885852,436.1905264344267,127.9792007004775,3.408292316618596
2,trial_002_raw.npy,True,A#4 / Bb4,A#4 / Bb4,True,False,0.1393666839572082,1115,601,0.4042591000034008,8000.477361880511,2.999820999975782,8000.477361880511,96,3386,1758.8779583333333,777.1104331154511,465.9769158074458,236.1085152550666,30.301516933073593,932.3449864233907,648.9885289771829,83.28940139633798,1398.395292722069,350.0547585347556,44.92506414597119,7.791970143823333
3,trial_003_raw.npy,True,A#4 / Bb4,A#4 / Bb4,True,False,0.06442983247826002,515,1,0.0012011999788228422,7993.1916658912905,3.0025552999577485,7993.1916658912905,117,3527,1798.2758333333334,809.3616020818058,466.253474022975,237.94017789987882,94.52548666123548,931.2071934941928,669.7162413197244,266.0553345568992,1396.8695129965165,401.2541999405444,159.4045564688298,2.517206589505528
4,trial_004_raw.npy,True,A#4 / Bb4,A#4 / Bb4,True,False,0.12015257269185288,961,447,0.33129409997491166,7998.164154708624,3.0006886000046507,7998.164154708624,151,3469,1761.4539166666666,825.2936483114605,466.4869632364822,226.71700472127398,31.114384169891967,931.8367658287337,679.5121573043366,93.25547652004276,1397.9258532335712,349.1246163620989,47.91346573236192,7.28656570810931
5,trial_005_raw.npy,True,A#4 / Bb4,A#4 / Bb4,True,False,0.0644087947291943,515,1,0.0011218000145163387,7995.802470226448,3.0015749000012875,7995.802470226448,163,3462,1782.316625,832.1729355719209,465.8217847749884,243.70504494906925,35.09289881316888,931.6013324073303,664.8924151176029,95.74279535428481,1397.2997158549006,348.94840774238605,50.24767200235474,6.944568650385104
6,trial_006_raw.npy,True,A#4 / Bb4,A#4 / Bb4,True,False,0.06439920714654969,515,1,0.0011987999896518886,7996.992864027707,3.001128100033384,7996.992864027707,139,3472,1775.3514166666666,835.3159076266038,466.94384180848556,247.82112821894572,74.81656774694434,931.619682158422,664.6637396015834,200.66029099385554,1397.4408466414206,370.13574723240856,111.74303985862618,3.312383014644069
7,trial_007_raw.npy,True,A#4 / Bb4,A#4 / Bb4,True,False,0.32628202687832525,2610,2096,1.7994314999959897,7999.214743671132,3.000294500030577,7999.214743671132,231,3487,1792.9489166666667,814.4397933945378,465.8842445059085,220.1468772689191,30.361223737773273,931.8575921004524,614.4541263227455,84.74151183663744,1397.739400592463,363.0787090023811,50.07345121219894,7.2509223992519125
8,trial_008_raw.npy,True,A#4 / Bb4,A#4 / Bb4,True,False,0.0644011212282203,515,1,0.0010553000029176474,7996.755183422633,3.001217299955897,7996.755183422633,224,3498,1799.85325,809.2815824293936,466.0504786961825,239.3544064891219,52.13239368478554,931.7100936662044,636.331260844647,138.59561764866336,1397.4277660658436,371.0040742346477,80.80624351296022,4.591279808411632
9,trial_009_raw.npy,True,A#4 / Bb4,A#4 / Bb4,True,False,0.23401082680380692,1871,1357,1.1935141999856569,7995.356563432143,3.001742299995385,7995.356563432143,226,3507,1806.3041666666666,800.7581108740919,465.73237744876116,218.7859050605026,30.113395700938266,931.4449178885415,649.6391730247728,89.41545605835722,1397.249576706334,393.8943780437281,54.21508879708499,7.265401326150864
10,trial_010_raw.npy,True,A#4 / Bb4,A#4 / Bb4,True,False,0.06440460820770871,515,1,0.0009974999993573874,7996.322224942262,3.0013797999708913,7996.322224942262,235,3504,1804.313,803.3134157762867,465.61346380387977,220.9239611157211,78.50442686213029,931.5435859647789,667.0450473942616,237.03173196989468,1397.3080082518006,402.65705408050377,143.08253886515314,2.8141592766954204
