note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,260.8138423986371,1.2463650571480471,1.294549617882556,False,525.1247971405178,6.583064451102396,6.8375661856015615,782.9153070115877,2.7027180864417146,2.807205357676997,False
C#4 / Db4,277.18,272.3083323147617,1.1772193494570338,1.2227307322709484,False,550.1864621191472,16.06964739618023,16.690901094286286,826.8518270922353,0.9942735496042335,1.0327122349339124,False
D4,293.66,297.9859491822582,2.414033808628675,2.50736052538788,False,590.7361926476899,1.355831856723413,1.4082484116255225,876.6622673725471,1.719952646542649,1.7864461367785271,False
D#4 / Eb4,311.13,308.875689922333,4.644808948539539,4.824377589041395,False,618.354500755741,3.8832819916192545,4.033409946427744,931.6250405486217,626.8894966376524,651.1250886508635,False
E4,329.63,332.12308727467604,2.4497046947067136,2.544410450429522,False,661.1167128064361,6.912484162921973,7.179721286639796,984.3268789450074,1.55867906410095,1.6189377063013615,False
F4,349.23,350.6524902527995,1.3564315220450605,1.4088712600506639,False,702.7346952559261,9.39903392592876,9.76240123830025,1050.877672486071,2.082912748172209,2.1634383014548417,False
F#4 / Gb4,369.99,374.23094623314853,2.2268085810477505,2.312897157345887,False,742.7149719475943,1.8249297853749964,1.8954816991785064,1105.5349027907912,3.7296574217404532,3.8738462398769182,False
G4,392.0,387.3649056751464,7.822690047912829,8.125115795136036,False,782.9153070115877,2.7027180864417146,2.807205357676997,1175.1158639291227,2.3034896136331833,2.3925426840421,False
G#4 / Ab4,415.3,417.09504468057725,2.677906113050124,2.7814341516496923,False,826.8518270922353,0.9942735496042335,1.0327122349339124,1248.330926820025,4.177881632192447,4.339398829817199,False
A4 (Concert Pitch),440.0,436.89662620496455,2.628753388411693,2.7303811792210784,False,876.6622673725471,1.719952646542649,1.7864461367785271,1317.4794351671833,8.168907072220767,8.48471759394436,False
A#4 / Bb4,466.16,465.8177710706006,221.13191749030372,229.6808929670643,True,931.6250405486217,626.8894966376524,651.1250886508635,1397.4368145886933,398.1270008538332,413.5186186969919,True
B4,493.88,494.68557407983167,3.8427080137898755,3.991267375762945,False,984.3268789450074,1.55867906410095,1.6189377063013615,1477.422169177201,10.53097982601209,10.938108246461775,False
