trial,raw_file,detected,detected_note,actual_note,matches_actual_note,is_false_positive,detection_audio_time_s,samples_to_detection,progressive_fft_checks,analysis_wall_time_s,sample_rate_hz,recording_wall_time_s,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,median_spectral_magnitude
1,trial_001_raw.npy,True,B4,B4,True,False,0.06452811985011794,516,2,0.0018657000036910176,7996.513786524912,3.001307900005486,7996.513786524912,0,3297,1540.5138333333334,873.5958959285446,494.10726896416355,409.4512698549147,118.22613057787154,987.7563352540014,622.3047981987851,179.68606705544076,,0.0,0.0,3.4632891041394864
2,trial_002_raw.npy,True,B4,B4,True,False,0.06449644175043795,516,2,0.0014327999961096793,8000.44135762724,2.99983450002037,8000.44135762724,0,3216,1528.7401666666667,818.2809940016652,494.3272689800819,412.6331278823623,137.5117124858854,988.2569186042817,616.1969353559224,205.35020114406382,,0.0,0.0,3.000712596933997
3,trial_003_raw.npy,True,B4,B4,True,False,0.06452746410013059,516,2,0.0020859999931417406,7996.595049811599,3.0012774000060745,7996.595049811599,0,3272,1565.7550833333332,852.6695074800089,493.977776020096,417.0646470014183,152.2357743691337,987.7829976729632,605.1041719749577,220.87343738412784,,0.0,0.0,2.7395968439726968
4,trial_004_raw.npy,True,B4,B4,True,False,0.06452533345017582,516,2,0.002051099989330396,7996.859100285579,3.0011783000081778,7996.859100285579,0,3185,1550.9705416666666,850.5646175811111,494.046199227096,413.013751047292,95.41328001872155,988.0009641461152,576.471765820825,133.17489278668387,,0.0,0.0,4.328682034264542
5,trial_005_raw.npy,True,B4,B4,True,False,0.06453156200004742,516,2,0.0018683999951463193,7996.08724796745,3.0014680000022054,7996.08724796745,0,3181,1552.447375,863.019424367664,494.0790828717386,406.1839479079047,86.5974947378388,987.7663604427629,583.025421816613,124.29969514511144,,0.0,0.0,4.690481510320443
6,trial_006_raw.npy,True,B4,B4,True,False,0.06454578425071668,516,2,0.0017877999925985932,7994.325361292215,3.002129500033334,7994.325361292215,0,3187,1553.5778333333333,868.210135217041,493.8093827439482,406.44039355053144,99.95743673181346,987.4710049875094,612.7602892510208,150.6984758810928,,0.0,0.0,4.066134615286445
7,trial_007_raw.npy,True,B4,B4,True,False,0.06449378005019389,516,2,0.0014216999989002943,8000.771541044891,2.999710700009018,8000.771541044891,0,3167,1533.142875,875.5799566892359,494.2503093855182,406.55060103781517,142.69495378843067,988.4505609042224,582.2694093902367,204.370393877805,,0.0,0.0,2.849088844729541
8,trial_008_raw.npy,True,B4,B4,True,False,0.06451959295026609,516,2,0.0020681000023614615,7997.570604603015,3.000911300012376,7997.570604603015,0,3156,1523.6869166666668,858.8056392120438,493.8851459061121,410.11837419898774,109.78603673774958,987.9965733807245,642.6362866820405,172.02957832963048,,0.0,0.0,3.7356150780691206
9,trial_009_raw.npy,True,B4,B4,True,False,0.06452427779964637,516,2,0.0018860999844036996,7996.989933033051,3.001129199983552,7996.989933033051,0,3131,1520.3159583333334,879.779890885223,494.24101340183284,393.0368391540535,95.39282396339085,987.946914190745,639.3947632531771,155.18563660699857,,0.0,0.0,4.120192933012343
10,trial_010_raw.npy,True,B4,B4,True,False,0.06450695954918047,516,2,0.0018350000027567148,7999.136893230857,3.000323699961882,7999.136893230857,0,3119,1495.27,848.4837888635028,494.30885788545464,401.3937144081561,78.23574467382437,988.2974455120461,626.9484559477504,122.19867317927279,,0.0,0.0,5.1305668027015265
11,trial_011_raw.npy,True,B4,B4,True,False,0.06451495970002726,516,2,0.0024089000071398914,7998.144963574736,3.0006958000012673,7998.144963574736,0,3121,1514.3320833333332,908.174791976298,494.2267645340763,401.4771513243782,188.6592642665819,987.9796760584804,660.8100730734486,310.52313137804475,,0.0,0.0,2.128054261661264
12,trial_012_raw.npy,True,B4,B4,True,False,0.0645077658003138,516,2,0.0015161999908741564,7999.036915916408,3.000361200014595,7999.036915916408,0,3132,1501.3147916666667,856.3945170090934,494.27578825323974,402.38563341988663,55.20677831738355,988.1162503169355,668.1574731101317,91.6703242747314,,0.0,0.0,7.288699788032789
13,trial_013_raw.npy,True,B4,B4,True,False,0.06452614830012317,516,2,0.0012987000227440149,7996.7581142452145,3.0012162000057288,7996.7581142452145,0,3111,1490.518875,861.8956144138475,494.0531523570775,377.5485536225273,83.09322716746158,987.9283101729606,641.9730296472192,141.2894057626104,,0.0,0.0,4.543674213803689
14,trial_014_raw.npy,True,B4,B4,True,False,0.06451106820043061,516,2,0.0017764999938663095,7998.627435478673,3.000514800020028,7998.627435478673,0,3834,1642.4755,903.298719605232,494.35141053832774,406.2484145798886,39.12146635115244,988.1395074177169,646.7107231219337,62.27783515095763,,0.0,0.0,10.384283935919527
15,trial_015_raw.npy,True,B4,B4,True,False,0.06450118680027662,516,2,0.0019391000096220523,7999.852802674121,3.0000552000128664,7999.852802674121,0,3551,1552.729625,917.7714984102324,494.2265905721393,407.80746863431034,57.08974254402044,988.1288060117919,663.9193501671779,92.943331562733,,0.0,0.0,7.143270410089175
16,trial_016_raw.npy,True,B4,B4,True,False,0.06451294729972142,516,2,0.0017777000030037016,7998.394455654147,3.0006021999870427,7998.394455654147,0,3574,1467.647125,881.8115610806276,494.0893082295231,397.30565365708827,96.38412358039287,988.1195663997221,667.6282831644148,161.96287759303686,,0.0,0.0,4.122106825256343
17,trial_017_raw.npy,True,B4,B4,True,False,0.06452578924989212,516,2,0.001941800001077354,7996.802611769103,3.001199499994982,7996.802611769103,0,3583,1605.8108333333332,880.8285837819918,493.9988838991642,408.8573760753508,221.14098070956803,987.8697578893895,686.6967310764157,371.41750998349715,,0.0,0.0,1.8488539517346048
