note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,261.6425820418507,1.9259029670355443,3.6028831993109716,False,518.8167804948358,2.290802726623695,4.2855194669503565,782.5693989234321,2.045440489869015,3.8265080340381794,False
C#4 / Db4,277.18,272.17758830997127,1.1251983093563893,2.1049648679410464,False,556.8585435231724,0.7324435002364225,1.370218763154138,836.2413387446622,3.42661147238331,6.410333810025335,False
D4,293.66,298.6758625125556,1.8603786556108206,3.48030358610131,False,592.2527558399412,1.1717282723795714,2.1920108016719797,884.5415378727163,2.044163698780304,3.8241194769606506,False
D#4 / Eb4,311.13,313.99677594859236,1.5127765599806604,2.8300269253207793,False,624.5944164615706,0.5002483979741413,0.9358397486232226,930.2088735337395,2.209089817829597,4.132655033331333,False
E4,329.63,329.430299017618,1.6715102995660156,3.1269780870899404,False,660.9057435771538,0.9232661051749609,1.7272001735104814,987.2154758179026,673.4723426338128,1259.898463218466,False
F4,349.23,348.9512278428169,1.5952269425440095,2.9842709880793006,False,694.5730064253444,2.528930955320952,4.730997878448745,1048.0942766700289,1.1377812622155148,2.128504428463998,False
F#4 / Gb4,369.99,374.46193294863036,1.7370013614191944,3.2494954986597717,False,735.1845579299696,1.8747362657427795,3.5071630869235735,1108.8316797821574,0.8977729814259818,1.6795089092955813,False
G4,392.0,393.2094155373905,5.602716357499701,10.481282276651628,False,782.5693989234321,2.045440489869015,3.8265080340381794,1177.4677062393314,1.1419149640205495,2.1362375515959724,False
G#4 / Ab4,415.3,417.55451463073075,1.688105461542524,3.158023488285328,False,833.2002949308741,2.8532215520293134,5.337664549913259,1246.535545319536,0.5614856306707028,1.0503993088041514,False
A4 (Concert Pitch),440.0,438.0107201971382,1.5826324209159244,2.9607097852804736,False,884.5415378727163,2.044163698780304,3.8241194769606506,1316.80268468285,0.8043819209997013,1.504797572154019,False
A#4 / Bb4,466.16,469.8130041676034,0.8809208933189782,1.6479828635117226,False,930.2088735337395,2.209089817829597,4.132655033331333,1401.3869561962504,1.004210664522866,1.8786272173137812,False
B4,493.88,493.6064377931532,404.42263164230326,756.5736851260026,True,987.2154758179026,673.4723426338128,1259.898463218466,1480.833751084038,395.3332176248308,739.5696627969126,True
