note,target_frequency_hz,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,candidate_valid,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,selected
C4,261.63,279.0240725981102,1.1249173459512323,0.6274448975475121,False,535.343853067047,7.3671637759588675,4.10918129874997,,0.0,0.0,False
C#4 / Db4,277.18,278.84941898251293,0.21296839622428096,0.11878733493686826,False,573.549482562782,1.611725000918553,0.8989714948532282,,0.0,0.0,False
D4,293.66,310.02674733123354,1.166964564676899,0.6508975653727866,False,593.8976860722524,2.2514329867063956,1.2557812756318945,885.8257174725188,0.6346641476257938,0.3539964802902141,False
D#4 / Eb4,311.13,318.28775593151005,1.792854400997101,1.0,False,612.949472543033,2.059618556485571,1.1487929836020752,919.1130483321459,3.4163116016631188,1.9055153612937712,False
E4,329.63,317.43884291625943,1.8128033770762082,1.0111269359452795,False,,0.0,0.0,988.0622267412703,598.1411352802639,333.62504782742315,False
F4,349.23,,0.0,0.0,False,696.1539661982183,1.2306965643540269,0.6864453486404537,,0.0,0.0,False
F#4 / Gb4,369.99,387.5334341640419,5.778954853145848,3.2233263615449563,False,745.4911297275071,0.7556876492872528,0.4214997318616476,,0.0,0.0,False
G4,392.0,385.464817672241,7.835768185275206,4.370554675782552,False,,0.0,0.0,1162.6003024921256,2.79646969733995,1.5597862803497515,False
G#4 / Ab4,415.3,428.13765998230576,1.199716764800825,0.6691657527424419,False,,0.0,0.0,,0.0,0.0,False
A4 (Concert Pitch),440.0,,0.0,0.0,False,885.8257174725188,0.6346641476257938,0.3539964802902141,1333.1150135243042,1.0377393549738843,0.578819648933423,False
A#4 / Bb4,466.16,456.8348165818671,12.285149789019167,6.8522852620863945,False,919.1130483321459,3.4163116016631188,1.9055153612937712,1379.619025623989,0.9894097758331964,0.5518628703384577,False
B4,493.88,494.1665843487501,383.53271794966525,213.92295868329433,True,988.0622267412703,598.1411352802639,333.62504782742315,,0.0,0.0,True
