trial,recording_start_timestamp,recording_end_timestamp,recording_wall_time_s,samples_recorded,expected_sample_rate_hz,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std
1,2026-09-02T12:52:14.070,2026-09-02T12:52:17.071,3.0013752999948338,24000,8000,7996.334213865661,195,2679,1422.824125,466.0130366015306
2,2026-09-02T12:52:19.166,2026-09-02T12:52:22.167,3.0005215000128374,24000,8000,7998.609575001318,106,2367,1424.8615833333333,455.55821652618664
3,2026-09-02T12:52:24.262,2026-09-02T12:52:27.263,3.0004828999517485,24000,8000,7998.712474044078,238,2635,1424.4470833333332,469.1576486860588
4,2026-09-02T12:52:29.343,2026-09-02T12:52:32.342,2.9993229000247084,24000,8000,8001.80600755,199,2377,1424.4185833333333,466.05748887587043
5,2026-09-02T12:52:34.435,2026-09-02T12:52:37.436,3.000843400019221,24000,8000,7997.751565392008,159,2544,1424.80875,454.7575189301219
6,2026-09-02T12:52:39.528,2026-09-02T12:52:42.529,3.0009846000466496,24000,8000,7997.375261314878,6,2611,1425.2011666666667,507.7380511763237
7,2026-09-02T12:52:44.624,2026-09-02T12:52:47.624,3.000297499995213,24000,8000,7999.20674534385,407,2445,1425.0043333333333,516.3456619355525
8,2026-09-02T12:52:49.714,2026-09-02T12:52:52.715,3.000360500009265,24000,8000,7999.038782148309,309,2451,1425.7514166666667,492.93314726067325
9,2026-09-02T12:52:54.810,2026-09-02T12:52:57.811,3.0008619999862276,24000,8000,7997.70199366387,257,2672,1424.8308333333334,479.7937918725281
10,2026-09-02T12:52:59.904,2026-09-02T12:53:02.904,3.0004634999786504,24000,8000,7998.7641909894155,388,2539,1425.2901666666667,494.91481312240245
11,2026-09-02T12:53:04.997,2026-09-02T12:53:07.998,3.000918500008993,24000,8000,7997.5514163173975,333,2513,1424.9075833333334,486.2412173817519
12,2026-09-02T12:53:10.092,2026-09-02T12:53:13.092,3.000590200012084,24000,8000,7998.4264428722545,347,2487,1425.9484166666666,502.28095766132486
13,2026-09-02T12:53:15.196,2026-09-02T12:53:18.196,3.000809899996966,24000,8000,7997.840849573398,317,2461,1425.1031666666668,505.0493724803867
14,2026-09-02T12:53:20.291,2026-09-02T12:53:23.292,3.0004069000133313,24000,8000,7998.915080449043,286,2559,1425.0316666666668,483.0563307106796
15,2026-09-02T12:53:25.387,2026-09-02T12:53:28.388,3.001349400030449,24000,8000,7996.403217751495,327,2467,1425.5338333333334,493.22606913068626
16,2026-09-02T12:53:30.484,2026-09-02T12:53:33.486,3.001711599994451,24000,8000,7995.438335929531,411,2476,1425.6515416666666,520.8801698005282
17,2026-09-02T12:53:35.581,2026-09-02T12:53:38.582,3.0006863999878988,24000,8000,7998.170018731977,336,2619,1425.2168333333334,493.26153046739023
18,2026-09-02T12:53:40.678,2026-09-02T12:53:43.679,3.000521600013599,24000,8000,7998.609308425318,262,2523,1425.5134583333333,492.3267524082327
19,2026-09-02T12:53:45.756,2026-09-02T12:53:48.757,3.0012345999712124,24000,8000,7996.709087730164,208,2622,1425.6534166666668,485.3058396034826
20,2026-09-02T12:53:50.848,2026-09-02T12:53:53.848,3.000029299990274,24000,8000,7999.921867455697,314,2605,1426.0150416666668,501.7871731760854
21,2026-09-02T12:53:55.923,2026-09-02T12:53:58.924,3.000383700011298,24000,8000,7998.976930820424,400,2444,1425.5550416666667,527.8079227053637
22,2026-09-02T12:54:01.018,2026-09-02T12:54:04.019,3.0011138999834657,24000,8000,7997.030702544221,368,2429,1426.2045,502.26798331174183
23,2026-09-02T12:54:06.111,2026-09-02T12:54:09.111,3.000162000011187,24000,8000,7999.568023296912,0,2785,1425.9100416666668,471.53943482219984
24,2026-09-02T12:54:11.247,2026-09-02T12:54:14.249,3.0017973999492824,24000,8000,7995.209803434935,241,2512,1426.296375,484.5420953473662
25,2026-09-02T12:54:16.341,2026-09-02T12:54:19.341,3.0002168999635614,24000,8000,7999.421641912452,93,2639,1426.0744583333333,484.4554753814923
26,2026-09-02T12:54:21.415,2026-09-02T12:54:24.416,3.000556899991352,24000,8000,7998.515208983096,405,2450,1425.2492916666667,516.0169049610586
27,2026-09-02T12:54:26.500,2026-09-02T12:54:29.500,3.0007739000138827,24000,8000,7997.936798866775,349,2447,1426.3791666666666,498.1922735887553
28,2026-09-02T12:54:31.595,2026-09-02T12:54:34.595,3.0004355999990366,24000,8000,7998.838568642402,413,2512,1425.547,497.3737635338845
29,2026-09-02T12:54:36.699,2026-09-02T12:54:39.700,3.000974300026428,24000,8000,7997.402710109395,281,2460,1425.6376666666667,496.27233028579934
30,2026-09-02T12:54:41.793,2026-09-02T12:54:44.794,3.001385500014294,24000,8000,7996.307038827802,304,2558,1426.2875,497.0972337778357
