trial,recording_start_timestamp,recording_end_timestamp,recording_wall_time_s,samples_recorded,expected_sample_rate_hz,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std
1,2026-09-02T12:58:59.092,2026-09-02T12:59:02.093,3.0010646000155248,24000,8000,7997.162073710724,183,3021,1439.153,588.6113300062633
2,2026-09-02T12:59:04.168,2026-09-02T12:59:07.169,3.0013532000011764,24000,8000,7996.393093618769,146,2976,1439.1474583333334,597.5446203952165
3,2026-09-02T12:59:09.244,2026-09-02T12:59:12.245,3.0010478000040166,24000,8000,7997.20684221287,292,2861,1438.5194583333334,595.0959513005799
4,2026-09-02T12:59:14.341,2026-09-02T12:59:17.341,3.000367699947674,24000,8000,7999.019586972143,203,2960,1438.5069583333334,595.870399582656
5,2026-09-02T12:59:19.435,2026-09-02T12:59:22.437,3.001360599999316,24000,8000,7996.373378129062,272,2909,1438.857875,597.7354165180369
6,2026-09-02T12:59:24.533,2026-09-02T12:59:27.534,3.000857599952724,24000,8000,7997.7137203638395,150,2960,1439.5176666666666,595.8745848551176
7,2026-09-02T12:59:29.630,2026-09-02T12:59:32.631,3.0013826999929734,24000,8000,7996.314498666294,208,2928,1438.2584166666666,592.0589898519156
8,2026-09-02T12:59:34.727,2026-09-02T12:59:37.728,3.0006095000426285,24000,8000,7998.374996699517,0,3024,1438.3874166666667,601.8483563588327
9,2026-09-02T12:59:39.822,2026-09-02T12:59:42.824,3.0011909000459127,24000,8000,7996.825526704364,0,3025,1438.24075,605.8758949015646
10,2026-09-02T12:59:44.897,2026-09-02T12:59:47.898,3.0010062000364996,24000,8000,7997.317699546273,69,3014,1438.260125,593.0639755371642
11,2026-09-02T12:59:49.994,2026-09-02T12:59:52.996,3.0015990000101738,24000,8000,7995.738271474189,291,2823,1438.9015416666666,586.1173795241281
12,2026-09-02T12:59:55.091,2026-09-02T12:59:58.093,3.001465300039854,24000,8000,7996.094440832391,28,3010,1438.2885,598.2863130411995
13,2026-09-02T13:00:00.169,2026-09-02T13:00:03.170,3.0002204999909736,24000,8000,7999.412043238891,322,2909,1438.2025833333332,601.9410639784546
14,2026-09-02T13:00:05.262,2026-09-02T13:00:08.263,3.0003847000189126,24000,8000,7998.974264816348,351,2857,1437.9641666666666,597.4274787500606
15,2026-09-02T13:00:10.337,2026-09-02T13:00:13.338,3.0008792000007816,24000,8000,7997.656153567844,266,2899,1439.225,583.2475818188797
16,2026-09-02T13:00:15.410,2026-09-02T13:00:18.412,3.0014004000113346,24000,8000,7996.267342374368,107,3022,1438.4039583333333,588.5058732993122
17,2026-09-02T13:00:20.495,2026-09-02T13:00:23.496,3.0005501999985427,24000,8000,7998.533069039024,127,2983,1437.6770416666666,579.6365557501931
18,2026-09-02T13:00:25.587,2026-09-02T13:00:28.588,3.0007938999915496,24000,8000,7997.883493454045,283,2901,1437.3791666666666,578.4253579574919
19,2026-09-02T13:00:30.683,2026-09-02T13:00:33.683,3.000401100027375,24000,8000,7998.930542913423,112,2930,1438.3240416666667,579.4923352345623
20,2026-09-02T13:00:35.777,2026-09-02T13:00:38.778,3.0008762999786995,24000,8000,7997.663882436725,304,2807,1436.9905833333332,576.9047688954755
21,2026-09-02T13:00:40.873,2026-09-02T13:00:43.874,3.0012697000056505,24000,8000,7996.615565723672,301,2981,1437.6231666666667,580.3848219953197
22,2026-09-02T13:00:45.952,2026-09-02T13:00:48.954,3.00213460001396,24000,8000,7994.311780653805,79,3018,1438.1464583333334,588.4277353464444
23,2026-09-02T13:00:51.047,2026-09-02T13:00:54.048,3.0008887000149116,24000,8000,7997.630835119191,152,2820,1437.1194166666667,574.1301158107844
24,2026-09-02T13:00:56.142,2026-09-02T13:00:59.143,3.000828200019896,24000,8000,7997.7920761478035,0,3015,1438.2958333333333,599.3447964155081
25,2026-09-02T13:01:01.239,2026-09-02T13:01:04.240,3.001539299963042,24000,8000,7995.89730519121,22,2896,1437.5744583333333,598.3725062130038
26,2026-09-02T13:01:06.315,2026-09-02T13:01:09.316,3.0009030000073835,24000,8000,7997.5927245702205,214,2835,1437.4410416666667,597.6479731578955
27,2026-09-02T13:01:11.410,2026-09-02T13:01:14.411,3.0011628000065684,24000,8000,7996.9004013869135,251,2854,1437.7312083333334,586.8678246586059
28,2026-09-02T13:01:16.512,2026-09-02T13:01:19.514,3.0013449999969453,24000,8000,7996.414940643087,83,3019,1438.014625,602.6344675730103
29,2026-09-02T13:01:21.611,2026-09-02T13:01:24.612,3.000999599986244,24000,8000,7997.335287918736,0,3024,1437.4220416666667,613.9960837731664
30,2026-09-02T13:01:26.697,2026-09-02T13:01:29.698,3.0014672999968752,24000,8000,7996.089112823247,0,3021,1438.02825,611.1519191083183
