trial,recording_start_timestamp,recording_end_timestamp,recording_wall_time_s,samples_recorded,expected_sample_rate_hz,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std
1,2026-09-02T13:02:16.166,2026-09-02T13:02:19.167,3.0005152000230737,24000,8000,7998.626369170015,0,2907,1438.9753333333333,782.5941706655632
2,2026-09-02T13:02:21.265,2026-09-02T13:02:24.266,3.0002356999902986,24000,8000,7999.371516070422,0,3024,1440.7430833333333,812.395887763736
3,2026-09-02T13:02:26.383,2026-09-02T13:02:29.383,3.0002215999993496,24000,8000,7999.409110315452,0,2969,1439.6690416666668,810.343442845206
4,2026-09-02T13:02:31.504,2026-09-02T13:02:34.506,3.0024481999571435,24000,8000,7993.476790154971,0,3018,1439.2505,798.7866361990377
5,2026-09-02T13:02:36.623,2026-09-02T13:02:39.623,3.0009355999645777,24000,8000,7997.505844605026,0,2891,1439.623375,792.3527510829371
6,2026-09-02T13:02:41.739,2026-09-02T13:02:44.739,3.000663999991957,24000,8000,7998.2297251756045,0,3024,1442.2245833333334,802.6539072765291
7,2026-09-02T13:02:46.853,2026-09-02T13:02:49.854,3.0010232999920845,24000,8000,7997.272130497388,0,3024,1440.256875,794.3896082898959
8,2026-09-02T13:02:51.969,2026-09-02T13:02:54.969,3.0006987000233494,24000,8000,7998.137233776003,0,3024,1443.311625,810.3080343164543
9,2026-09-02T13:02:57.082,2026-09-02T13:03:00.084,3.0017836000188254,24000,8000,7995.246559362069,0,3030,1440.0063333333333,796.2610575032597
10,2026-09-02T13:03:02.178,2026-09-02T13:03:05.180,3.0011812999728136,24000,8000,7996.851106668366,0,3024,1440.2491666666667,793.4665087734716
11,2026-09-02T13:03:07.307,2026-09-02T13:03:10.308,3.0013561000232585,24000,8000,7996.385367205849,0,3023,1440.0478333333333,790.4187937668675
12,2026-09-02T13:03:12.422,2026-09-02T13:03:15.423,3.0014207999920473,24000,8000,7996.212993547453,0,3024,1439.15525,778.1615118576241
13,2026-09-02T13:03:17.537,2026-09-02T13:03:20.538,3.000053800002206,24000,8000,7999.85653590024,0,3027,1439.2705,782.7333303180909
14,2026-09-02T13:03:22.631,2026-09-02T13:03:25.632,3.000859500025399,24000,8000,7997.708656402229,0,3019,1438.710375,774.339005504912
15,2026-09-02T13:03:27.726,2026-09-02T13:03:30.727,3.0014802999794483,24000,8000,7996.054480239078,0,3027,1439.6859166666666,780.2780637454562
16,2026-09-02T13:03:32.818,2026-09-02T13:03:35.819,3.001375399995595,24000,8000,7996.333947441304,0,3022,1439.490625,778.8074909489984
17,2026-09-02T13:03:37.931,2026-09-02T13:03:40.933,3.001496499986388,24000,8000,7996.01132305463,0,3021,1438.1753333333334,790.7070860916547
18,2026-09-02T13:03:43.043,2026-09-02T13:03:46.044,3.00098239997169,24000,8000,7997.381124336619,0,3026,1438.7734166666667,790.2820760019669
19,2026-09-02T13:03:48.145,2026-09-02T13:03:51.146,3.0013184000272304,24000,8000,7996.485810963027,0,3024,1439.39975,785.149435044954
20,2026-09-02T13:03:53.264,2026-09-02T13:03:56.269,3.0043153999722563,24000,8000,7988.508796453805,0,3023,1438.523875,775.123887876458
21,2026-09-02T13:03:58.394,2026-09-02T13:04:01.395,3.0011764999944717,24000,8000,7996.863896556637,0,3021,1438.8219583333334,766.7229227440483
22,2026-09-02T13:04:03.511,2026-09-02T13:04:06.512,3.0007571000023745,24000,8000,7997.981576043262,0,2974,1438.1209166666667,754.6458170727361
23,2026-09-02T13:04:08.626,2026-09-02T13:04:11.628,3.001354000007268,24000,8000,7996.390962193024,0,2915,1437.8014583333334,757.1196885557945
24,2026-09-02T13:04:13.837,2026-09-02T13:04:16.838,3.0016824000049382,24000,8000,7995.5161145498,0,2896,1437.9824166666667,756.7089935228489
25,2026-09-02T13:04:18.932,2026-09-02T13:04:21.933,3.0014027999714017,24000,8000,7996.260948456728,0,3023,1439.3184583333334,754.3049787448906
26,2026-09-02T13:04:24.049,2026-09-02T13:04:27.050,3.0012434999807738,24000,8000,7996.685373963741,0,3035,1465.0419166666666,877.1334738074053
27,2026-09-02T13:04:29.146,2026-09-02T13:04:32.147,3.0007159000379033,24000,8000,7998.091388690561,0,3021,1438.815125,743.0057190282402
28,2026-09-02T13:04:34.262,2026-09-02T13:04:37.264,3.0013920000055805,24000,8000,7996.289721554324,0,2919,1438.414875,714.5662052063257
29,2026-09-02T13:04:39.379,2026-09-02T13:04:42.381,3.0017153000226244,24000,8000,7995.428480448864,0,3007,1437.3689166666666,718.1158342021142
30,2026-09-02T13:04:44.477,2026-09-02T13:04:47.478,3.001027200021781,24000,8000,7997.261737523009,0,2986,1437.7205416666666,705.5081359796312
