trial,recording_start_timestamp,recording_end_timestamp,recording_wall_time_s,samples_recorded,expected_sample_rate_hz,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std
1,2026-09-02T13:05:38.757,2026-09-02T13:05:41.758,3.0010727999615483,24000,8000,7997.140222758842,0,2967,1444.6192083333333,770.4921085750526
2,2026-09-02T13:05:43.857,2026-09-02T13:05:46.858,3.000246400013566,24000,8000,7999.342987259806,0,3028,1447.11225,784.1821956480753
3,2026-09-02T13:05:48.972,2026-09-02T13:05:51.973,3.0010920999920927,24000,8000,7997.0887931307525,0,3013,1447.1696666666667,784.5556863267227
4,2026-09-02T13:05:54.079,2026-09-02T13:05:57.079,3.000620400009211,24000,8000,7998.345942034629,0,3023,1444.629625,784.0279509410703
5,2026-09-02T13:05:59.197,2026-09-02T13:06:02.199,3.0013001000043005,24000,8000,7996.53456845772,0,3010,1444.8072083333334,773.6244580370545
6,2026-09-02T13:06:04.316,2026-09-02T13:06:07.316,3.0001142999972217,24000,8000,7999.695211619846,0,3021,1443.722125,775.5583738142802
7,2026-09-02T13:06:09.428,2026-09-02T13:06:12.428,3.00056900002528,24000,8000,7998.482954332261,0,2832,1443.4135833333332,766.1164628938211
8,2026-09-02T13:06:14.533,2026-09-02T13:06:17.534,3.000719100004062,24000,8000,7998.082859527742,0,3018,1447.1600416666668,784.7879352725197
9,2026-09-02T13:06:19.644,2026-09-02T13:06:22.645,3.0008887000149116,24000,8000,7997.630835119191,0,3021,1445.75675,768.1473040208275
10,2026-09-02T13:06:24.758,2026-09-02T13:06:27.758,3.000418699986767,24000,8000,7998.883622511034,0,3019,1442.6624583333332,758.5341366909458
11,2026-09-02T13:06:29.876,2026-09-02T13:06:32.877,3.0010183999547735,24000,8000,7997.285188375283,0,3025,1443.6537916666666,759.0703970488792
12,2026-09-02T13:06:34.952,2026-09-02T13:06:37.953,3.0005991000216454,24000,8000,7998.402718919322,0,2993,1443.2808333333332,750.201855280936
13,2026-09-02T13:06:40.061,2026-09-02T13:06:43.062,3.00083779997658,24000,8000,7997.766490473863,0,3022,1444.1104583333333,759.8054040461878
14,2026-09-02T13:06:45.156,2026-09-02T13:06:48.157,3.0011485000140965,24000,8000,7996.938505337964,0,2951,1446.5872916666667,777.1034927044342
15,2026-09-02T13:06:50.252,2026-09-02T13:06:53.254,3.0015888000489213,24000,8000,7995.765442491269,0,2967,1446.3967916666666,781.5333634579939
16,2026-09-02T13:06:55.332,2026-09-02T13:06:58.333,3.000971200002823,24000,8000,7997.41097148064,0,3022,1446.3062083333334,777.9535947618855
17,2026-09-02T13:07:00.406,2026-09-02T13:07:03.407,3.0013788000214845,24000,8000,7996.324889023739,0,2817,1445.466625,769.5173105091538
18,2026-09-02T13:07:05.512,2026-09-02T13:07:08.512,3.0006961000035517,24000,8000,7998.144163939692,0,2912,1445.0250416666668,770.8966024355883
19,2026-09-02T13:07:10.607,2026-09-02T13:07:13.607,3.000475999957416,24000,8000,7998.730868149126,0,3002,1445.867375,768.5353432945391
20,2026-09-02T13:07:15.710,2026-09-02T13:07:18.711,3.0011364999809302,24000,8000,7996.970481066923,0,2911,1444.3892083333333,768.2531642284686
21,2026-09-02T13:07:20.809,2026-09-02T13:07:23.808,2.999792399990838,24000,8000,8000.553638336207,0,3039,1451.3602916666666,812.6134704922339
22,2026-09-02T13:07:25.927,2026-09-02T13:07:28.929,3.0017453000182286,24000,8000,7995.348572663463,0,3024,1448.2137083333334,797.2362802356778
23,2026-09-02T13:07:31.023,2026-09-02T13:07:34.024,3.000793600047473,24000,8000,7997.8842928818285,0,3030,1454.88075,833.794531095306
24,2026-09-02T13:07:36.117,2026-09-02T13:07:39.118,3.000952899979893,24000,8000,7997.459740258104,0,3021,1446.7267083333334,777.7190285102772
25,2026-09-02T13:07:41.215,2026-09-02T13:07:44.216,3.0015025000320747,24000,8000,7995.9953389156035,0,2979,1446.2615416666667,776.152813575098
26,2026-09-02T13:07:46.312,2026-09-02T13:07:49.313,3.000766599958297,24000,8000,7997.95625568931,0,2999,1443.993,758.4354735020713
27,2026-09-02T13:07:51.407,2026-09-02T13:07:54.409,3.001193100004457,24000,8000,7996.819664807425,0,2895,1443.1115,759.8863288583251
28,2026-09-02T13:07:56.507,2026-09-02T13:07:59.507,3.0007098999922164,24000,8000,7998.107381210778,0,3007,1444.0743333333332,755.9239013268776
29,2026-09-02T13:08:01.603,2026-09-02T13:08:04.604,3.0012465000036173,24000,8000,7996.677380538744,0,2970,1444.4844583333334,761.0164663205655
30,2026-09-02T13:08:06.677,2026-09-02T13:08:09.678,3.000202300027013,24000,8000,7999.460569636892,0,2928,1445.4213333333332,767.750166118372
