trial,recording_start_timestamp,recording_end_timestamp,recording_wall_time_s,samples_recorded,expected_sample_rate_hz,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std
1,2026-09-02T13:08:45.577,2026-09-02T13:08:48.577,3.0006404999876395,24000,8000,7998.292364613109,0,2940,1484.8575833333334,724.6685797018479
2,2026-09-02T13:08:50.732,2026-09-02T13:08:53.733,3.001244399987627,24000,8000,7996.682975934564,0,3088,1485.9825416666667,724.755473423658
3,2026-09-02T13:08:55.830,2026-09-02T13:08:58.831,3.001116600004025,24000,8000,7997.023507839654,0,3070,1486.1925833333332,741.2874365179186
4,2026-09-02T13:09:00.928,2026-09-02T13:09:03.930,3.002010700001847,24000,8000,7994.641724623178,0,2874,1486.1256666666666,746.8221386954689
5,2026-09-02T13:09:06.083,2026-09-02T13:09:09.084,3.001134699967224,24000,8000,7996.975277471587,0,2898,1486.605,744.4729230394352
6,2026-09-02T13:09:11.181,2026-09-02T13:09:14.181,3.000695700000506,24000,8000,7998.145230119787,0,3088,1489.429,768.6950110153126
7,2026-09-02T13:09:16.299,2026-09-02T13:09:19.300,3.000994100002572,24000,8000,7997.349944799768,0,2833,1487.3147083333333,761.0465320265648
8,2026-09-02T13:09:21.395,2026-09-02T13:09:24.395,3.0000908999936655,24000,8000,7999.757607361388,0,3014,1489.5647083333333,776.0919969709272
9,2026-09-02T13:09:26.512,2026-09-02T13:09:29.512,3.0006163000361994,24000,8000,7998.356870790332,0,3096,1487.9459166666666,760.9365679942367
10,2026-09-02T13:09:31.628,2026-09-02T13:09:34.629,3.0012662000372075,24000,8000,7996.624891088457,0,3103,1490.3627083333333,766.4929403091802
11,2026-09-02T13:09:36.722,2026-09-02T13:09:39.723,3.0003677000058815,24000,8000,7999.01958681696,0,2963,1487.0029583333333,764.2468856138737
12,2026-09-02T13:09:41.891,2026-09-02T13:09:44.894,3.0033393000485376,24000,8000,7991.105100783029,0,3099,1514.3829583333334,924.152517289606
13,2026-09-02T13:09:47.009,2026-09-02T13:09:50.009,3.000530200020876,24000,8000,7998.586383110899,0,3088,1502.4812083333334,877.1671188566672
14,2026-09-02T13:09:52.120,2026-09-02T13:09:55.120,3.000595899997279,24000,8000,7998.41124891951,0,3089,1503.0675833333332,885.4041359944025
15,2026-09-02T13:09:57.234,2026-09-02T13:10:00.234,3.0001537000061944,24000,8000,7999.5901543145765,0,3104,1518.8341666666668,941.2070194843086
16,2026-09-02T13:10:02.363,2026-09-02T13:10:05.363,3.000106399995275,24000,8000,7999.716276741985,0,3101,1517.9547083333334,932.1696765716771
17,2026-09-02T13:10:07.479,2026-09-02T13:10:10.480,3.0012372999917716,24000,8000,7996.701893604281,0,3098,1505.8664166666667,882.1748853038366
18,2026-09-02T13:10:12.596,2026-09-02T13:10:15.597,3.00097910000477,24000,8000,7997.389918497551,0,3088,1502.7197083333333,879.2537629683873
19,2026-09-02T13:10:17.717,2026-09-02T13:10:20.718,3.0007686000317335,24000,8000,7997.950924888442,0,3088,1508.5336666666667,899.8795440222143
20,2026-09-02T13:10:22.829,2026-09-02T13:10:25.830,3.001562199962791,24000,8000,7995.836301609048,0,3095,1511.939875,913.9149261722866
21,2026-09-02T13:10:27.949,2026-09-02T13:10:30.950,3.001373999984935,24000,8000,7996.337677383914,0,3089,1510.7547083333334,912.3934170793934
22,2026-09-02T13:10:33.045,2026-09-02T13:10:36.046,3.001323400007095,24000,8000,7996.472489416923,0,3095,1510.8089583333333,909.6069148679356
23,2026-09-02T13:10:38.162,2026-09-02T13:10:41.162,3.0008694999851286,24000,8000,7997.682005205137,0,3094,1511.585125,906.5822332951782
24,2026-09-02T13:10:43.278,2026-09-02T13:10:46.278,3.000114099995699,24000,8000,7999.6957449166375,0,3092,1510.2137083333334,906.7676582803167
25,2026-09-02T13:10:48.391,2026-09-02T13:10:51.392,3.000760300026741,24000,8000,7997.973046959508,0,3088,1512.081625,915.3067219401523
26,2026-09-02T13:10:53.483,2026-09-02T13:10:56.484,3.000822199974209,24000,8000,7997.808067471065,0,3088,1512.63525,914.5838636738521
27,2026-09-02T13:10:58.597,2026-09-02T13:11:01.598,3.001458599988837,24000,8000,7996.112290234242,0,3087,1512.9699166666667,906.4713819403904
28,2026-09-02T13:11:03.712,2026-09-02T13:11:06.713,3.001310200022999,24000,8000,7996.507658493976,0,3097,1505.5024166666667,885.1573758245811
29,2026-09-02T13:11:08.833,2026-09-02T13:11:11.834,3.0013003000058234,24000,8000,7996.534035582322,0,3088,1504.03625,885.4606069477097
30,2026-09-02T13:11:13.928,2026-09-02T13:11:16.930,3.001423000008799,24000,8000,7996.207132393415,0,3087,1508.3117916666667,899.0465178571183
