trial,recording_start_timestamp,recording_end_timestamp,recording_wall_time_s,samples_recorded,expected_sample_rate_hz,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std
1,2026-09-02T13:11:37.580,2026-09-02T13:11:40.580,3.0005852000322193,24000,8000,7998.439770929449,0,2839,1510.587875,716.6357070078732
2,2026-09-02T13:11:42.729,2026-09-02T13:11:45.730,3.000727700011339,24000,8000,7998.059937230995,0,2910,1507.5332916666666,705.7932669915842
3,2026-09-02T13:11:47.830,2026-09-02T13:11:50.830,3.0008261000039056,24000,8000,7997.797673103671,0,2919,1513.4497916666667,720.1993492719466
4,2026-09-02T13:11:52.945,2026-09-02T13:11:55.947,3.001821000012569,24000,8000,7995.14694577042,0,3085,1513.1338333333333,742.4451441834905
5,2026-09-02T13:11:58.047,2026-09-02T13:12:01.048,3.0007598999654874,24000,8000,7997.9741132491245,0,3086,1518.7907916666666,757.4566430697284
6,2026-09-02T13:12:03.159,2026-09-02T13:12:06.160,3.00142720004078,24000,8000,7996.195942941383,0,3090,1535.362875,808.8592505294312
7,2026-09-02T13:12:08.275,2026-09-02T13:12:11.276,3.0010990999871865,24000,8000,7997.070140103828,0,3088,1518.6289166666666,750.6506504229851
8,2026-09-02T13:12:13.389,2026-09-02T13:12:16.390,3.0010853999992833,24000,8000,7997.106646817092,0,3071,1509.9353333333333,723.8655507347593
9,2026-09-02T13:12:18.503,2026-09-02T13:12:21.504,3.001164700021036,24000,8000,7996.895338610299,0,3051,1514.1748333333333,719.0988876599184
10,2026-09-02T13:12:23.616,2026-09-02T13:12:26.617,3.001904500008095,24000,8000,7994.924555373191,0,3087,1517.91575,721.6130288287563
11,2026-09-02T13:12:28.735,2026-09-02T13:12:31.736,3.001400500012096,24000,8000,7996.267075954467,0,3087,1516.96825,722.8663611387241
12,2026-09-02T13:12:33.845,2026-09-02T13:12:36.846,3.001058599969838,24000,8000,7997.178062514745,0,3037,1515.0426666666667,713.4427804932448
13,2026-09-02T13:12:38.956,2026-09-02T13:12:41.957,3.0010439000325277,24000,8000,7997.2172348894555,0,2985,1515.9845416666667,710.1071365590533
14,2026-09-02T13:12:44.072,2026-09-02T13:12:47.073,3.0008623000467196,24000,8000,7997.701193962265,0,3070,1515.9918333333333,715.8375057038056
15,2026-09-02T13:12:49.186,2026-09-02T13:12:52.187,3.000794199993834,24000,8000,7997.882693871281,0,3087,1519.7847083333334,727.7799973295637
16,2026-09-02T13:12:54.299,2026-09-02T13:12:57.300,3.0010934000019915,24000,8000,7997.085328961795,0,3090,1521.5058333333334,741.7001975294766
17,2026-09-02T13:12:59.415,2026-09-02T13:13:02.416,3.000412800000049,24000,8000,7998.899351449109,0,3089,1522.5476666666666,743.344472257921
18,2026-09-02T13:13:04.548,2026-09-02T13:13:07.548,3.0001119999797083,24000,8000,7999.701344537247,0,3091,1523.9419166666667,749.22249158082
19,2026-09-02T13:13:09.664,2026-09-02T13:13:12.666,3.001609000028111,24000,8000,7995.711633252443,0,3081,1523.6887083333334,727.422941321952
20,2026-09-02T13:13:14.767,2026-09-02T13:13:17.768,3.0003339999821037,24000,8000,7999.109432530897,0,3071,1522.253625,723.0305519813727
21,2026-09-02T13:13:19.891,2026-09-02T13:13:22.891,3.000500199967064,24000,8000,7998.666355784094,0,3088,1525.05525,739.7490610395023
22,2026-09-02T13:13:25.008,2026-09-02T13:13:28.008,3.000100100005511,24000,8000,7999.73307555835,0,3087,1524.6374583333334,733.4320666996996
23,2026-09-02T13:13:30.107,2026-09-02T13:13:33.109,3.0015651000430807,24000,8000,7995.828576117017,0,3024,1520.6566666666668,730.7977201958024
24,2026-09-02T13:13:35.222,2026-09-02T13:13:38.222,3.0001285999896936,24000,8000,7999.657081393927,0,3039,1520.3329166666667,726.1241452703462
25,2026-09-02T13:13:40.337,2026-09-02T13:13:43.338,3.000853600038681,24000,8000,7997.724380719752,0,2919,1525.730875,740.5843463637262
26,2026-09-02T13:13:45.458,2026-09-02T13:13:48.460,3.0023022000095807,24000,8000,7993.8655075839515,0,2960,1523.098625,727.4282479911277
27,2026-09-02T13:13:50.573,2026-09-02T13:13:53.575,3.0018703000387177,24000,8000,7995.015640645917,0,3083,1522.5719583333334,727.5875055994485
28,2026-09-02T13:13:55.686,2026-09-02T13:13:58.687,3.0007155000348575,24000,8000,7998.092454856585,0,2939,1520.9042083333334,728.2551247760442
29,2026-09-02T13:14:00.803,2026-09-02T13:14:03.805,3.00177839997923,24000,8000,7995.2604096844925,0,3092,1521.61125,744.58469955118
30,2026-09-02T13:14:05.921,2026-09-02T13:14:08.922,3.0013202000409365,24000,8000,7996.481015145486,0,3083,1522.319,740.478448934351
