trial,recording_start_timestamp,recording_end_timestamp,recording_wall_time_s,samples_recorded,expected_sample_rate_hz,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std
1,2026-09-02T13:14:29.502,2026-09-02T13:14:32.504,3.0015485000330955,24000,8000,7995.872796903122,160,3413,1756.8849583333333,909.5739073430408
2,2026-09-02T13:14:34.597,2026-09-02T13:14:37.599,3.0017153000226244,24000,8000,7995.428480448864,158,3413,1758.59175,944.6652915292167
3,2026-09-02T13:14:39.694,2026-09-02T13:14:42.694,3.0002190000377595,24000,8000,7999.416042528211,172,3423,1769.115875,934.1802266213463
4,2026-09-02T13:14:44.793,2026-09-02T13:14:47.794,3.0008729999535717,24000,8000,7997.672677374657,165,3430,1765.552375,934.2389655625544
5,2026-09-02T13:14:49.888,2026-09-02T13:14:52.889,3.001631500024814,24000,8000,7995.651698018759,165,3408,1757.9155833333334,929.1356403491814
6,2026-09-02T13:14:54.981,2026-09-02T13:14:57.982,3.0008506999583915,24000,8000,7997.732109875634,159,3390,1750.8215,933.4003457679052
7,2026-09-02T13:15:00.078,2026-09-02T13:15:03.078,3.0007897000177763,24000,8000,7997.894687474376,147,3399,1752.2780416666667,942.2724689775633
8,2026-09-02T13:15:05.172,2026-09-02T13:15:08.173,3.0006762999692,24000,8000,7998.1969398853,147,3395,1753.3531666666668,954.799686256237
9,2026-09-02T13:15:10.266,2026-09-02T13:15:13.267,3.000879700004589,24000,8000,7997.654821005754,140,3379,1719.6297916666667,881.9508044887504
10,2026-09-02T13:15:15.364,2026-09-02T13:15:18.365,3.00096959999064,24000,8000,7997.4152354208645,144,3391,1715.2817083333334,858.7853386379464
11,2026-09-02T13:15:20.475,2026-09-02T13:15:23.476,3.001717900042422,24000,8000,7995.421554990499,144,3379,1710.7565,863.285489540358
12,2026-09-02T13:15:25.570,2026-09-02T13:15:28.570,3.000760100025218,24000,8000,7997.97358002671,139,3380,1707.7030833333333,852.6138821931634
13,2026-09-02T13:15:30.694,2026-09-02T13:15:33.695,3.001320500043221,24000,8000,7996.480215843121,129,3387,1699.47325,847.9365302796814
14,2026-09-02T13:15:35.824,2026-09-02T13:15:38.824,3.0002393999602646,24000,8000,7999.361651046199,129,3374,1699.2105833333333,852.1753884081131
15,2026-09-02T13:15:40.940,2026-09-02T13:15:43.941,3.0009956999565475,24000,8000,7997.345681084283,135,3371,1697.068,855.4611969790413
16,2026-09-02T13:15:46.131,2026-09-02T13:15:49.132,3.0007875000010245,24000,8000,7997.900551102604,137,3359,1691.2442083333333,846.4736302080333
17,2026-09-02T13:15:51.245,2026-09-02T13:15:54.246,3.0010912000434473,24000,8000,7997.091191248219,115,3351,1689.9801666666667,852.7098389992943
18,2026-09-02T13:15:56.393,2026-09-02T13:15:59.393,3.000168400001712,24000,8000,7999.550958534962,123,3346,1691.69425,864.980691981137
19,2026-09-02T13:16:01.504,2026-09-02T13:16:04.506,3.0017224000184797,24000,8000,7995.409568803647,112,3349,1685.55375,862.2477709423442
20,2026-09-02T13:16:06.582,2026-09-02T13:16:09.582,3.000300499959849,24000,8000,7999.198747032565,125,3351,1695.6467916666666,891.6509587156554
21,2026-09-02T13:16:11.664,2026-09-02T13:16:14.665,3.001269400003366,24000,8000,7996.616365053094,112,3349,1690.8467083333333,868.7786957721689
22,2026-09-02T13:16:16.760,2026-09-02T13:16:19.761,3.0004249999765307,24000,8000,7998.866827262047,119,3354,1688.5235,864.0930596479403
23,2026-09-02T13:16:21.855,2026-09-02T13:16:24.856,3.0009923000470735,24000,8000,7997.354741504514,122,3347,1688.6152083333334,864.708799749886
24,2026-09-02T13:16:26.941,2026-09-02T13:16:29.941,3.0001712999655865,24000,8000,7999.54322617355,102,3346,1689.98825,882.551416908433
25,2026-09-02T13:16:32.048,2026-09-02T13:16:35.050,3.002019500010647,24000,8000,7994.618289426462,124,3347,1692.6870833333332,875.9657715446789
26,2026-09-02T13:16:37.147,2026-09-02T13:16:40.148,3.001137599989306,24000,8000,7996.967549933571,116,3350,1696.638,905.996146146164
27,2026-09-02T13:16:42.246,2026-09-02T13:16:45.247,3.0017448000144213,24000,8000,7995.349904457134,122,3358,1699.568125,873.4022971543596
28,2026-09-02T13:16:47.341,2026-09-02T13:16:50.342,3.0010924999951385,24000,8000,7997.087727232292,127,3367,1713.454375,903.9533966090257
29,2026-09-02T13:16:52.436,2026-09-02T13:16:55.437,3.0008698999881744,24000,8000,7997.680939148538,125,3353,1701.5334583333333,871.2177748115973
30,2026-09-02T13:16:57.529,2026-09-02T13:17:00.530,3.00084540003445,24000,8000,7997.746235019131,117,3361,1706.5610416666666,896.5000508671478
