trial,recording_start_timestamp,recording_end_timestamp,recording_wall_time_s,samples_recorded,expected_sample_rate_hz,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std
1,2026-09-02T13:17:20.091,2026-09-02T13:17:23.092,3.0013524999958463,24000,8000,7996.394958617228,128,3347,1697.622625,812.2774143242885
2,2026-09-02T13:17:25.218,2026-09-02T13:17:28.218,3.0008181000011973,24000,8000,7997.818994756938,116,3356,1705.6250416666667,843.899993086372
3,2026-09-02T13:17:30.330,2026-09-02T13:17:33.333,3.0022668999736197,24000,8000,7993.959497808433,125,3353,1695.9268333333334,834.5068303387641
4,2026-09-02T13:17:35.448,2026-09-02T13:17:38.449,3.000325300032273,24000,8000,7999.132627299395,125,3353,1697.8983333333333,826.978801166
5,2026-09-02T13:17:40.601,2026-09-02T13:17:43.602,3.000430599960964,24000,8000,7998.8518982282885,123,3349,1700.19875,843.1628370193445
6,2026-09-02T13:17:45.697,2026-09-02T13:17:48.698,3.0006881000008434,24000,8000,7998.1654874404485,128,3347,1699.984875,839.1470048310304
7,2026-09-02T13:17:50.818,2026-09-02T13:17:53.818,3.00071549997665,24000,8000,7998.0924550117315,126,3345,1692.8012083333333,821.2942996395886
8,2026-09-02T13:17:55.924,2026-09-02T13:17:58.926,3.0016929000266828,24000,8000,7995.488145968116,121,3344,1683.52375,818.598460986389
9,2026-09-02T13:18:01.056,2026-09-02T13:18:04.056,3.000432000029832,24000,8000,7998.848165784586,117,3349,1688.845,830.1092595953576
10,2026-09-02T13:18:06.173,2026-09-02T13:18:09.175,3.0015572999836877,24000,8000,7995.849354643481,113,3344,1691.5414166666667,839.5505036396955
11,2026-09-02T13:18:11.288,2026-09-02T13:18:14.288,3.000009900017176,24000,8000,7999.973600041318,123,3345,1691.7013333333334,833.436312434955
12,2026-09-02T13:18:16.405,2026-09-02T13:18:19.405,3.000423800025601,24000,8000,7998.870026226035,117,3344,1688.44275,815.6669087277726
13,2026-09-02T13:18:21.523,2026-09-02T13:18:24.525,3.0012039999710396,24000,8000,7996.790621441125,119,3343,1694.4055416666667,842.6533634041989
14,2026-09-02T13:18:26.659,2026-09-02T13:18:29.660,3.0008136000251397,24000,8000,7997.8309881689875,112,3345,1697.3612916666666,844.7393484286229
15,2026-09-02T13:18:31.766,2026-09-02T13:18:34.766,3.0004823000053875,24000,8000,7998.714073386437,112,3344,1691.9272916666666,829.1064646567235
16,2026-09-02T13:18:36.893,2026-09-02T13:18:39.894,3.0010584000265226,24000,8000,7997.178595320869,115,3346,1687.2459166666667,841.8775727614079
17,2026-09-02T13:18:42.018,2026-09-02T13:18:45.020,3.0015435999957845,24000,8000,7995.885850211774,119,3344,1687.6077083333332,842.0391144280894
18,2026-09-02T13:18:47.137,2026-09-02T13:18:50.138,3.0010337000130676,24000,8000,7997.244416114186,112,3344,1689.2887083333333,843.961803787801
19,2026-09-02T13:18:52.251,2026-09-02T13:18:55.269,3.018427899980452,24000,8000,7951.158946071042,111,3345,1686.8440833333334,858.0766428978659
20,2026-09-02T13:18:57.392,2026-09-02T13:19:00.392,3.000113800051622,24000,8000,7999.6965447067505,111,3347,1694.1052916666667,873.6701735232634
21,2026-09-02T13:19:02.504,2026-09-02T13:19:05.504,3.0002985000028275,24000,8000,7999.204079186582,109,3345,1698.4531666666667,873.5714531556436
22,2026-09-02T13:19:07.616,2026-09-02T13:19:10.617,3.0002719999756664,24000,8000,7999.274732489138,121,3346,1688.9875,858.6851541854562
23,2026-09-02T13:19:12.730,2026-09-02T13:19:15.731,3.0016783000319265,24000,8000,7995.527035573643,121,3345,1692.753625,880.5585469258322
24,2026-09-02T13:19:17.853,2026-09-02T13:19:20.853,3.000461599964183,24000,8000,7998.769256132621,117,3345,1693.5649166666667,856.1741314564074
25,2026-09-02T13:19:22.970,2026-09-02T13:19:25.972,3.00142029998824,24000,8000,7996.214325629115,118,3347,1693.18625,857.081082060981
26,2026-09-02T13:19:28.086,2026-09-02T13:19:31.087,3.0015915000112727,24000,8000,7995.758250218215,110,3350,1697.8560416666667,879.9506298825092
27,2026-09-02T13:19:33.223,2026-09-02T13:19:36.223,3.0006457999697886,24000,8000,7998.2782373853115,119,3351,1693.0830416666668,860.7396641423048
28,2026-09-02T13:19:38.343,2026-09-02T13:19:41.344,3.0009086999925785,24000,8000,7997.577533784802,115,3345,1700.1470833333333,881.3414450790966
29,2026-09-02T13:19:43.456,2026-09-02T13:19:46.456,3.0002249000244774,24000,8000,7999.400311558042,115,3346,1695.769125,859.4171703251928
30,2026-09-02T13:19:48.571,2026-09-02T13:19:51.573,3.001201900013257,24000,8000,7996.796216840323,113,3351,1691.826,850.5484847070946
