trial,recording_start_timestamp,recording_end_timestamp,recording_wall_time_s,samples_recorded,expected_sample_rate_hz,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std
1,2026-09-02T13:20:10.753,2026-09-02T13:20:13.755,3.0014251000247896,24000,8000,7996.2015376634845,165,3403,1629.4430833333333,812.4240479137487
2,2026-09-02T13:20:15.837,2026-09-02T13:20:18.838,3.0010384999914095,24000,8000,7997.23162500871,78,3283,1620.368,810.2458478284519
3,2026-09-02T13:20:20.933,2026-09-02T13:20:23.934,3.0007503000088036,24000,8000,7997.9997002514965,133,3281,1618.6411666666668,794.1993223862586
4,2026-09-02T13:20:26.030,2026-09-02T13:20:29.031,3.000926200009417,24000,8000,7997.53089560306,79,3280,1616.7602083333334,801.0818707421699
5,2026-09-02T13:20:31.111,2026-09-02T13:20:34.112,3.0015726999845356,24000,8000,7995.808330787274,78,3280,1616.2523333333334,805.8387677855965
6,2026-09-02T13:20:36.206,2026-09-02T13:20:39.207,3.00117639999371,24000,8000,7996.864163016308,54,3274,1633.1931666666667,914.0703512559992
7,2026-09-02T13:20:41.315,2026-09-02T13:20:44.316,3.0008288000244647,24000,8000,7997.790477018994,59,3273,1616.9355416666667,819.7831012839135
8,2026-09-02T13:20:46.431,2026-09-02T13:20:49.432,3.0007005999796093,24000,8000,7998.132169588358,60,3279,1619.048875,829.1887885084989
9,2026-09-02T13:20:51.544,2026-09-02T13:20:54.545,3.0007861999911256,24000,8000,7997.9040159778715,76,3266,1611.7771666666667,789.4555123705343
10,2026-09-02T13:20:56.703,2026-09-02T13:20:59.704,3.0005381000228226,24000,8000,7998.56532393888,63,3279,1622.4644166666667,865.6161566321427
11,2026-09-02T13:21:01.816,2026-09-02T13:21:04.817,3.0004784999764524,24000,8000,7998.724203552317,64,3280,1618.308125,849.6085494484829
12,2026-09-02T13:21:06.929,2026-09-02T13:21:09.930,3.0013799000298604,24000,8000,7996.321958363626,66,3265,1611.4089166666668,815.6195223084773
13,2026-09-02T13:21:12.034,2026-09-02T13:21:15.035,3.0008816000190563,24000,8000,7997.649757273861,66,3263,1609.74725,804.6333702811245
14,2026-09-02T13:21:17.129,2026-09-02T13:21:20.129,3.000830900040455,24000,8000,7997.784880073198,208,3273,1610.0384166666668,802.9345175256424
15,2026-09-02T13:21:22.228,2026-09-02T13:21:25.229,3.0010725999600254,24000,8000,7997.140755715034,75,3278,1609.2079583333334,801.3376613286327
16,2026-09-02T13:21:27.326,2026-09-02T13:21:30.327,3.0003583999932744,24000,8000,7999.044380849234,82,3263,1608.327,788.6505501327944
17,2026-09-02T13:21:32.419,2026-09-02T13:21:35.420,3.0010884000221267,24000,8000,7997.098652549872,124,3275,1608.627,797.3740312804316
18,2026-09-02T13:21:37.513,2026-09-02T13:21:40.513,3.000339400023222,24000,8000,7999.095035653048,67,3262,1608.9203333333332,783.6008617803006
19,2026-09-02T13:21:42.607,2026-09-02T13:21:45.609,3.0015610000118613,24000,8000,7995.839498149516,50,3266,1635.2244166666667,915.3900431924955
20,2026-09-02T13:21:47.701,2026-09-02T13:21:50.701,3.000543399946764,24000,8000,7998.551195901986,66,3279,1609.265125,804.3567039285903
21,2026-09-02T13:21:52.812,2026-09-02T13:21:55.812,3.0004512000014074,24000,8000,7998.796980930316,80,3270,1608.4095416666667,791.7232976603162
22,2026-09-02T13:21:57.904,2026-09-02T13:22:00.905,3.0014646000345238,24000,8000,7996.0963056915425,61,3262,1608.6906666666666,801.5045332848043
23,2026-09-02T13:22:03.003,2026-09-02T13:22:06.004,3.001007800048683,24000,8000,7997.313435710053,61,3266,1609.2094583333333,810.7935894412759
24,2026-09-02T13:22:08.096,2026-09-02T13:22:11.097,3.0012713000178337,24000,8000,7996.611302636116,122,3263,1607.4150416666666,776.8158177131556
25,2026-09-02T13:22:13.189,2026-09-02T13:22:16.190,3.0009987999801524,24000,8000,7997.337419847928,64,3266,1609.7253333333333,814.2667993307903
26,2026-09-02T13:22:18.271,2026-09-02T13:22:21.272,3.0008181000011973,24000,8000,7997.818994756938,66,3269,1607.6261666666667,797.4450258621962
27,2026-09-02T13:22:23.413,2026-09-02T13:22:26.414,3.0008365999674425,24000,8000,7997.769688712937,80,3278,1608.1974166666666,804.8615544707493
28,2026-09-02T13:22:28.506,2026-09-02T13:22:31.507,3.0014823999954388,24000,8000,7996.048885722759,65,3261,1607.3120833333332,809.9901683191543
29,2026-09-02T13:22:33.583,2026-09-02T13:22:36.584,3.0009347000159323,24000,8000,7997.508242972624,112,3255,1606.7147083333334,793.7765424120538
30,2026-09-02T13:22:38.677,2026-09-02T13:22:41.678,3.0011415000190027,24000,8000,7996.957157750821,65,3255,1606.8485,795.581568759047
