trial,recording_start_timestamp,recording_end_timestamp,recording_wall_time_s,samples_recorded,expected_sample_rate_hz,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std
1,2026-09-02T13:23:07.637,2026-09-02T13:23:10.638,3.000772900006268,24000,8000,7997.939464179334,45,3249,1623.5435833333333,986.4883987696954
2,2026-09-02T13:23:12.758,2026-09-02T13:23:15.759,3.0009745999705046,24000,8000,7997.40191077788,30,3233,1613.6530833333334,953.8134282016682
3,2026-09-02T13:23:17.853,2026-09-02T13:23:20.855,3.001147700008005,24000,8000,7996.940637055613,32,3225,1607.7532083333333,921.0424695348302
4,2026-09-02T13:23:22.969,2026-09-02T13:23:25.970,3.0010082999942824,24000,8000,7997.312103417283,38,3231,1615.206,973.3881836591044
5,2026-09-02T13:23:28.087,2026-09-02T13:23:31.088,3.001191799994558,24000,8000,7996.823128746226,19,3235,1620.86025,994.6098478387543
6,2026-09-02T13:23:33.199,2026-09-02T13:23:36.200,3.0005716999876313,24000,8000,7998.475757169519,23,3236,1616.983625,997.9879471238457
7,2026-09-02T13:23:38.315,2026-09-02T13:23:41.315,3.0002449000021443,24000,8000,7999.346986635273,29,3250,1619.9845416666667,1003.3834955145521
8,2026-09-02T13:23:43.443,2026-09-02T13:23:46.444,3.0009272000170313,24000,8000,7997.528230562804,1,3255,1621.1516666666666,1007.0249332636032
9,2026-09-02T13:23:48.556,2026-09-02T13:23:51.556,3.0007147999713197,24000,8000,7998.094320802959,45,3249,1626.8616666666667,1020.7496668016358
10,2026-09-02T13:23:53.667,2026-09-02T13:23:56.670,3.0025118000339717,24000,8000,7993.307470008429,22,3243,1622.4940416666666,994.1114479087765
11,2026-09-02T13:23:58.786,2026-09-02T13:24:01.787,3.0003838000120595,24000,8000,7998.9766642199365,21,3262,1626.114625,991.2841029829158
12,2026-09-02T13:24:03.905,2026-09-02T13:24:06.905,3.0002360999933444,24000,8000,7999.3704495633665,73,3303,1660.6540833333333,1038.0412292669603
13,2026-09-02T13:24:09.021,2026-09-02T13:24:12.021,3.000499200017657,24000,8000,7998.669021427757,30,3277,1641.89325,1039.4129452439577
14,2026-09-02T13:24:14.135,2026-09-02T13:24:17.136,3.0003253999748267,24000,8000,7999.132360843715,35,3261,1628.5569166666667,1016.6169330234542
15,2026-09-02T13:24:19.246,2026-09-02T13:24:22.247,3.0008749999688007,24000,8000,7997.667347106934,0,3810,1637.4800416666667,992.8504129605508
16,2026-09-02T13:24:24.363,2026-09-02T13:24:27.364,3.0007439000182785,24000,8000,7998.0167583957455,7,3217,1604.4905,1010.82945647836
17,2026-09-02T13:24:29.476,2026-09-02T13:24:32.477,3.0007744999602437,24000,8000,7997.935199835232,9,3218,1600.508875,995.6574186562397
18,2026-09-02T13:24:34.598,2026-09-02T13:24:37.599,3.001149700023234,24000,8000,7996.9353077636215,5,3189,1584.4642083333333,980.0977974362962
19,2026-09-02T13:24:39.712,2026-09-02T13:24:42.714,3.0020966000156477,24000,8000,7994.4129712131535,0,3194,1582.2519166666666,972.7672348984007
20,2026-09-02T13:24:44.826,2026-09-02T13:24:47.827,3.0007291000219993,24000,8000,7998.056205681495,0,3193,1580.2882916666667,977.1243699913621
21,2026-09-02T13:24:49.940,2026-09-02T13:24:52.941,3.0010130000300705,24000,8000,7997.299578428856,0,3198,1580.9329583333333,977.0425602571968
22,2026-09-02T13:24:55.058,2026-09-02T13:24:58.059,3.000719500007108,24000,8000,7998.081793364275,0,3215,1587.5350833333334,996.8688517462945
23,2026-09-02T13:25:00.174,2026-09-02T13:25:03.174,3.00055070000235,24000,8000,7998.531736184696,0,3504,1696.161875,1003.2173383491318
24,2026-09-02T13:25:05.289,2026-09-02T13:25:08.289,3.0007035000016913,24000,8000,7998.124439814354,158,3511,1794.9417083333333,1076.1543089389065
25,2026-09-02T13:25:10.404,2026-09-02T13:25:13.405,3.0014546000165865,24000,8000,7996.122946476476,108,3567,1764.6386666666667,1036.2372206709965
26,2026-09-02T13:25:15.523,2026-09-02T13:25:18.524,3.001007799990475,24000,8000,7997.31343586517,105,3408,1742.0652916666666,1083.4168172324041
27,2026-09-02T13:25:20.640,2026-09-02T13:25:23.641,3.0004318000283092,24000,8000,7998.848698968448,82,3750,1705.911,1026.3115216077463
28,2026-09-02T13:25:25.756,2026-09-02T13:25:28.757,3.001419300038833,24000,8000,7996.216989638696,0,3485,1570.6961666666666,1010.0176988176837
29,2026-09-02T13:25:30.873,2026-09-02T13:25:33.874,3.001006599981338,24000,8000,7997.316633741908,11,3477,1690.7231666666667,1041.597245450888
30,2026-09-02T13:25:35.994,2026-09-02T13:25:38.994,3.0000700000091456,24000,8000,7999.8133376644,64,3409,1703.5229583333332,1075.928413652237
