trial,recording_start_timestamp,recording_end_timestamp,recording_wall_time_s,samples_recorded,expected_sample_rate_hz,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std
1,2026-09-02T13:26:12.525,2026-09-02T13:26:15.526,3.000715699978173,24000,8000,7998.091921928684,97,3065,1649.200875,762.1534691389301
2,2026-09-02T13:26:17.604,2026-09-02T13:26:20.604,2.999820999975782,24000,8000,8000.477361880511,96,3386,1758.8779583333333,777.1104331154511
3,2026-09-02T13:26:22.702,2026-09-02T13:26:25.704,3.0025552999577485,24000,8000,7993.1916658912905,117,3527,1798.2758333333334,809.3616020818058
4,2026-09-02T13:26:27.813,2026-09-02T13:26:30.814,3.0006886000046507,24000,8000,7998.164154708624,151,3469,1761.4539166666666,825.2936483114605
5,2026-09-02T13:26:32.931,2026-09-02T13:26:35.933,3.0015749000012875,24000,8000,7995.802470226448,163,3462,1782.316625,832.1729355719209
6,2026-09-02T13:26:38.031,2026-09-02T13:26:41.032,3.001128100033384,24000,8000,7996.992864027707,139,3472,1775.3514166666666,835.3159076266038
7,2026-09-02T13:26:43.131,2026-09-02T13:26:46.131,3.000294500030577,24000,8000,7999.214743671132,231,3487,1792.9489166666667,814.4397933945378
8,2026-09-02T13:26:48.220,2026-09-02T13:26:51.221,3.001217299955897,24000,8000,7996.755183422633,224,3498,1799.85325,809.2815824293936
9,2026-09-02T13:26:53.317,2026-09-02T13:26:56.319,3.001742299995385,24000,8000,7995.356563432143,226,3507,1806.3041666666666,800.7581108740919
10,2026-09-02T13:26:58.411,2026-09-02T13:27:01.412,3.0013797999708913,24000,8000,7996.322224942262,235,3504,1804.313,803.3134157762867
11,2026-09-02T13:27:03.506,2026-09-02T13:27:06.506,3.00046970002586,24000,8000,7998.747662671998,210,3516,1816.5979583333333,838.8823459244812
12,2026-09-02T13:27:08.597,2026-09-02T13:27:11.598,3.0011459999950603,24000,8000,7996.945166959389,204,3561,1853.4519166666666,819.1762292644571
13,2026-09-02T13:27:13.679,2026-09-02T13:27:16.680,3.0009774999925867,24000,8000,7997.394182415325,110,3374,1721.1689583333334,860.7169180758324
14,2026-09-02T13:27:18.769,2026-09-02T13:27:21.769,2.999954600003548,24000,8000,8000.121068489375,139,3406,1734.108375,891.53216535539
15,2026-09-02T13:27:23.871,2026-09-02T13:27:26.871,3.000437599956058,24000,8000,7998.833236975662,121,3343,1686.2130416666666,833.0692859378787
16,2026-09-02T13:27:28.944,2026-09-02T13:27:31.944,3.0005878999945708,24000,8000,7998.43257384442,131,3358,1697.5595833333334,810.6729871812262
17,2026-09-02T13:27:34.035,2026-09-02T13:27:37.036,3.0010341000161134,24000,8000,7997.243350174241,228,3482,1800.9873333333333,773.1720137177358
18,2026-09-02T13:27:39.112,2026-09-02T13:27:42.113,3.0007067999686114,24000,8000,7998.115644037948,176,3279,1747.3685,789.5880836003396
19,2026-09-02T13:27:44.208,2026-09-02T13:27:47.209,3.0015710999723524,24000,8000,7995.812593018724,161,3413,1761.7893333333334,839.4200126880025
20,2026-09-02T13:27:49.301,2026-09-02T13:27:52.301,3.00042910000775,24000,8000,7998.8558969575415,220,3472,1789.0446666666667,802.8308420696497
21,2026-09-02T13:27:54.394,2026-09-02T13:27:57.396,3.0017927000299096,24000,8000,7995.22232156833,195,3517,1803.5095,832.7538110776363
22,2026-09-02T13:27:59.495,2026-09-02T13:28:02.495,3.0004464000230655,24000,8000,7998.809777043677,144,3554,1759.269375,889.8464782910016
23,2026-09-02T13:28:04.589,2026-09-02T13:28:07.591,3.001675300009083,24000,8000,7995.535026699049,144,3314,1729.5522083333333,818.9765249263696
24,2026-09-02T13:28:09.680,2026-09-02T13:28:12.681,3.001733899989631,24000,8000,7995.378937514382,91,3398,1716.6372916666667,846.190140506697
25,2026-09-02T13:28:14.776,2026-09-02T13:28:17.777,3.0009476999985054,24000,8000,7997.473598094346,133,3438,1747.5285833333332,837.6705111069679
26,2026-09-02T13:28:19.869,2026-09-02T13:28:22.870,3.0008367999689654,24000,8000,7997.769155672913,118,3303,1758.503,791.8608199820171
27,2026-09-02T13:28:24.963,2026-09-02T13:28:27.964,3.0005644999910146,24000,8000,7998.494949890885,119,3422,1743.0354166666666,833.9345796878351
28,2026-09-02T13:28:30.057,2026-09-02T13:28:33.059,3.001832000038121,24000,8000,7995.117648054661,106,3418,1731.652375,833.383155833524
29,2026-09-02T13:28:35.158,2026-09-02T13:28:38.158,3.000424700032454,24000,8000,7998.867626886422,119,3369,1737.0726666666667,807.8141267986919
30,2026-09-02T13:28:40.253,2026-09-02T13:28:43.254,3.0010952000156976,24000,8000,7997.080532425118,59,3287,1739.6065833333334,766.7210031050092
