trial,recording_start_timestamp,recording_end_timestamp,recording_wall_time_s,samples_recorded,expected_sample_rate_hz,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std
1,2026-09-02T13:29:21.168,2026-09-02T13:29:24.169,3.001307900005486,24000,8000,7996.513786524912,0,3297,1540.5138333333334,873.5958959285446
2,2026-09-02T13:29:26.263,2026-09-02T13:29:29.263,2.99983450002037,24000,8000,8000.44135762724,0,3216,1528.7401666666667,818.2809940016652
3,2026-09-02T13:29:31.379,2026-09-02T13:29:34.380,3.0012774000060745,24000,8000,7996.595049811599,0,3272,1565.7550833333332,852.6695074800089
4,2026-09-02T13:29:36.494,2026-09-02T13:29:39.495,3.0011783000081778,24000,8000,7996.859100285579,0,3185,1550.9705416666666,850.5646175811111
5,2026-09-02T13:29:41.610,2026-09-02T13:29:44.611,3.0014680000022054,24000,8000,7996.08724796745,0,3181,1552.447375,863.019424367664
6,2026-09-02T13:29:46.723,2026-09-02T13:29:49.725,3.002129500033334,24000,8000,7994.325361292215,0,3187,1553.5778333333333,868.210135217041
7,2026-09-02T13:29:51.842,2026-09-02T13:29:54.841,2.999710700009018,24000,8000,8000.771541044891,0,3167,1533.142875,875.5799566892359
8,2026-09-02T13:29:56.951,2026-09-02T13:29:59.952,3.000911300012376,24000,8000,7997.570604603015,0,3156,1523.6869166666668,858.8056392120438
9,2026-09-02T13:30:02.076,2026-09-02T13:30:05.077,3.001129199983552,24000,8000,7996.989933033051,0,3131,1520.3159583333334,879.779890885223
10,2026-09-02T13:30:07.279,2026-09-02T13:30:10.280,3.000323699961882,24000,8000,7999.136893230857,0,3119,1495.27,848.4837888635028
11,2026-09-02T13:30:12.396,2026-09-02T13:30:15.397,3.0006958000012673,24000,8000,7998.144963574736,0,3121,1514.3320833333332,908.174791976298
12,2026-09-02T13:30:17.532,2026-09-02T13:30:20.532,3.000361200014595,24000,8000,7999.036915916408,0,3132,1501.3147916666667,856.3945170090934
13,2026-09-02T13:30:22.641,2026-09-02T13:30:25.642,3.0012162000057288,24000,8000,7996.7581142452145,0,3111,1490.518875,861.8956144138475
14,2026-09-02T13:30:27.759,2026-09-02T13:30:30.759,3.000514800020028,24000,8000,7998.627435478673,0,3834,1642.4755,903.298719605232
15,2026-09-02T13:30:32.875,2026-09-02T13:30:35.875,3.0000552000128664,24000,8000,7999.852802674121,0,3551,1552.729625,917.7714984102324
16,2026-09-02T13:30:37.998,2026-09-02T13:30:40.998,3.0006021999870427,24000,8000,7998.394455654147,0,3574,1467.647125,881.8115610806276
17,2026-09-02T13:30:43.090,2026-09-02T13:30:46.091,3.001199499994982,24000,8000,7996.802611769103,0,3583,1605.8108333333332,880.8285837819918
18,2026-09-02T13:30:48.185,2026-09-02T13:30:51.187,3.001714199956041,24000,8000,7995.431410609135,272,3873,1885.6550416666666,926.3827280532417
19,2026-09-02T13:30:53.283,2026-09-02T13:30:56.285,3.0020150000345893,24000,8000,7994.630273240963,0,3607,1677.03175,864.5200947828604
20,2026-09-02T13:30:58.407,2026-09-02T13:31:01.408,3.0009232999873348,24000,8000,7997.538624229846,0,3542,1531.5287916666666,854.1948850381126
21,2026-09-02T13:31:03.506,2026-09-02T13:31:06.507,3.0004913000157103,24000,8000,7998.690081145824,0,3110,1478.907,812.3879473656922
22,2026-09-02T13:31:08.619,2026-09-02T13:31:11.621,3.0018282999517396,24000,8000,7995.127502924084,0,3059,1460.611375,869.4477170793384
23,2026-09-02T13:31:13.736,2026-09-02T13:31:16.738,3.00169270002516,24000,8000,7995.4886787041305,0,3127,1495.3587916666668,877.5136432376951
24,2026-09-02T13:31:18.852,2026-09-02T13:31:21.853,3.0012812000350095,24000,8000,7996.584925038028,0,3056,1461.7826666666667,878.5085910634261
25,2026-09-02T13:31:23.970,2026-09-02T13:31:26.970,3.000868699979037,24000,8000,7997.684137319188,0,3061,1464.689875,876.8956388091694
26,2026-09-02T13:31:29.088,2026-09-02T13:31:32.089,3.000483199954033,24000,8000,7998.711674295552,0,3061,1460.8195416666667,872.7018406443678
27,2026-09-02T13:31:34.201,2026-09-02T13:31:37.202,3.000741600000765,24000,8000,7998.022888739863,0,3105,1483.6368333333332,883.663907653362
28,2026-09-02T13:31:39.316,2026-09-02T13:31:42.317,3.000940300000366,24000,8000,7997.493319009736,0,3094,1470.4877916666667,868.7103782845844
29,2026-09-02T13:31:44.437,2026-09-02T13:31:47.438,3.00080739997793,24000,8000,7997.847512698254,0,3067,1461.6228333333333,880.9814400283217
30,2026-09-02T13:31:49.551,2026-09-02T13:31:52.553,3.0013604999985546,24000,8000,7996.373644556046,0,3063,1467.318125,888.8802063583728
